"package","role","source","actual_version"
"R","formal_runtime","R_runtime","4.5.3"
"multiFSYNC","formal_runtime","rc1_snapshot","0.3.0.9000"
"stats","formal_runtime","R_distribution","4.5.3"
"utils","formal_runtime","R_distribution","4.5.3"
"parallel","formal_runtime","R_distribution","4.5.3"
"splines","formal_runtime","R_distribution","4.5.3"
"compiler","formal_runtime","R_distribution","4.5.3"
"grid","formal_runtime","R_distribution","4.5.3"
"MASS","formal_runtime","R_distribution","7.3.65"
"lattice","formal_runtime","R_distribution","0.22.9"
"digest","formal_runtime","CRAN","0.6.39"
"abind","formal_runtime","CRAN","1.4.8"
"ellipse","formal_runtime","CRAN","0.5.0"
"gtools","formal_runtime","CRAN","3.9.5"
"magic","formal_runtime","CRAN","1.6.1"
"matrixcalc","formal_runtime","CRAN","1.0.6"
"matrixStats","formal_runtime","CRAN","1.5.0"
"pracma","formal_runtime","CRAN","2.4.6"
"testthat","smoke_test","CRAN","3.3.2"
