"stage_index","stage","status","detail","formal_experiment","observed_at_utc"
1,"generate_and_seal","PASS","micro data sealed; observation-only bundle emitted",FALSE,"2026-08-12T15:52:46.472Z"
2,"preselection_truth_lock","PASS","",FALSE,"2026-08-12T15:52:46.474Z"
3,"B0_A_fit_and_terminal","PASS","",FALSE,"2026-08-12T15:52:47.303Z"
4,"R_public_pre_score_multistart_fit_and_terminal","PASS","",FALSE,"2026-08-12T15:52:48.146Z"
5,"pooled_fit_once_without_study_labels","PASS","",FALSE,"2026-08-12T15:52:49.336Z"
6,"warning_and_error_terminal_records","PASS","",FALSE,"2026-08-12T15:52:49.550Z"
7,"truth_free_all_method_selection_and_hash_freeze","PASS","",FALSE,"2026-08-12T15:52:49.698Z"
8,"offline_racing_real_trajectory_replay","PASS","",FALSE,"2026-08-12T15:52:49.749Z"
9,"micro_fixed_horizon_continuation_and_truth_free_freeze","PASS","",FALSE,"2026-08-12T15:52:50.086Z"
10,"authorized_truth_unseal","PASS","",FALSE,"2026-08-12T15:52:50.110Z"
11,"multiFSYNC_and_pooled_evaluation","PASS","",FALSE,"2026-08-12T15:52:51.624Z"
12,"cluster_bootstrap_and_success_gate_summary","PASS","",FALSE,"2026-08-12T15:52:51.941Z"
