"seed","uses","data_ids","use_ids","collision_class","intentional_or_unique"
82612001,1,"v0lv_01","v0lv_01","unique",TRUE
82612002,1,"v0lv_02","v0lv_02","unique",TRUE
82612003,1,"v0lv_03","v0lv_03","unique",TRUE
82612004,1,"v0lv_04","v0lv_04","unique",TRUE
82612005,1,"v0lv_05","v0lv_05","unique",TRUE
82612006,1,"v0lv_06","v0lv_06","unique",TRUE
82612007,1,"v0lv_07","v0lv_07","unique",TRUE
82612008,1,"v0lv_08","v0lv_08","unique",TRUE
82612009,1,"v0lv_09","v0lv_09","unique",TRUE
82612010,1,"v0lv_10","v0lv_10","unique",TRUE
82620101,3,"v0lv_01","v0lv_01_B0_01;v0lv_01_A_01;v0lv_01_R_01","core_B0_A_R_pair",TRUE
82620102,3,"v0lv_01","v0lv_01_B0_02;v0lv_01_A_02;v0lv_01_R_02","core_B0_A_R_pair",TRUE
82620103,3,"v0lv_01","v0lv_01_B0_03;v0lv_01_A_03;v0lv_01_R_03","core_B0_A_R_pair",TRUE
82620104,3,"v0lv_01","v0lv_01_B0_04;v0lv_01_A_04;v0lv_01_R_04","core_B0_A_R_pair",TRUE
82620105,1,"v0lv_01","v0lv_01_R_05","unique",TRUE
82620106,1,"v0lv_01","v0lv_01_R_06","unique",TRUE
82620107,1,"v0lv_01","v0lv_01_R_07","unique",TRUE
82620108,1,"v0lv_01","v0lv_01_R_08","unique",TRUE
82620109,1,"v0lv_01","v0lv_01_R_09","unique",TRUE
82620110,1,"v0lv_01","v0lv_01_R_10","unique",TRUE
82620111,1,"v0lv_01","v0lv_01_R_11","unique",TRUE
82620112,1,"v0lv_01","v0lv_01_R_12","unique",TRUE
82620201,3,"v0lv_02","v0lv_02_B0_01;v0lv_02_A_01;v0lv_02_R_01","core_B0_A_R_pair",TRUE
82620202,3,"v0lv_02","v0lv_02_B0_02;v0lv_02_A_02;v0lv_02_R_02","core_B0_A_R_pair",TRUE
82620203,3,"v0lv_02","v0lv_02_B0_03;v0lv_02_A_03;v0lv_02_R_03","core_B0_A_R_pair",TRUE
82620204,3,"v0lv_02","v0lv_02_B0_04;v0lv_02_A_04;v0lv_02_R_04","core_B0_A_R_pair",TRUE
82620205,1,"v0lv_02","v0lv_02_R_05","unique",TRUE
82620206,1,"v0lv_02","v0lv_02_R_06","unique",TRUE
82620207,1,"v0lv_02","v0lv_02_R_07","unique",TRUE
82620208,1,"v0lv_02","v0lv_02_R_08","unique",TRUE
82620209,1,"v0lv_02","v0lv_02_R_09","unique",TRUE
82620210,1,"v0lv_02","v0lv_02_R_10","unique",TRUE
82620211,1,"v0lv_02","v0lv_02_R_11","unique",TRUE
82620212,1,"v0lv_02","v0lv_02_R_12","unique",TRUE
82620301,6,"v0lv_03","v0lv_03_B0_01;v0lv_03_A_01;v0lv_03_R_01;v0lv_03_R_01_anchor_200;v0lv_03_R_01_to_400;v0lv_03_R_01_to_800","core_B0_A_R_pair_plus_three_R_audit_stages",TRUE
82620302,6,"v0lv_03","v0lv_03_B0_02;v0lv_03_A_02;v0lv_03_R_02;v0lv_03_R_02_anchor_200;v0lv_03_R_02_to_400;v0lv_03_R_02_to_800","core_B0_A_R_pair_plus_three_R_audit_stages",TRUE
82620303,6,"v0lv_03","v0lv_03_B0_03;v0lv_03_A_03;v0lv_03_R_03;v0lv_03_R_03_anchor_200;v0lv_03_R_03_to_400;v0lv_03_R_03_to_800","core_B0_A_R_pair_plus_three_R_audit_stages",TRUE
82620304,6,"v0lv_03","v0lv_03_B0_04;v0lv_03_A_04;v0lv_03_R_04;v0lv_03_R_04_anchor_200;v0lv_03_R_04_to_400;v0lv_03_R_04_to_800","core_B0_A_R_pair_plus_three_R_audit_stages",TRUE
82620305,4,"v0lv_03","v0lv_03_R_05;v0lv_03_R_05_anchor_200;v0lv_03_R_05_to_400;v0lv_03_R_05_to_800","one_extra_R_start_plus_three_audit_stages",TRUE
82620306,4,"v0lv_03","v0lv_03_R_06;v0lv_03_R_06_anchor_200;v0lv_03_R_06_to_400;v0lv_03_R_06_to_800","one_extra_R_start_plus_three_audit_stages",TRUE
82620307,4,"v0lv_03","v0lv_03_R_07;v0lv_03_R_07_anchor_200;v0lv_03_R_07_to_400;v0lv_03_R_07_to_800","one_extra_R_start_plus_three_audit_stages",TRUE
82620308,4,"v0lv_03","v0lv_03_R_08;v0lv_03_R_08_anchor_200;v0lv_03_R_08_to_400;v0lv_03_R_08_to_800","one_extra_R_start_plus_three_audit_stages",TRUE
82620309,4,"v0lv_03","v0lv_03_R_09;v0lv_03_R_09_anchor_200;v0lv_03_R_09_to_400;v0lv_03_R_09_to_800","one_extra_R_start_plus_three_audit_stages",TRUE
82620310,4,"v0lv_03","v0lv_03_R_10;v0lv_03_R_10_anchor_200;v0lv_03_R_10_to_400;v0lv_03_R_10_to_800","one_extra_R_start_plus_three_audit_stages",TRUE
82620311,4,"v0lv_03","v0lv_03_R_11;v0lv_03_R_11_anchor_200;v0lv_03_R_11_to_400;v0lv_03_R_11_to_800","one_extra_R_start_plus_three_audit_stages",TRUE
82620312,4,"v0lv_03","v0lv_03_R_12;v0lv_03_R_12_anchor_200;v0lv_03_R_12_to_400;v0lv_03_R_12_to_800","one_extra_R_start_plus_three_audit_stages",TRUE
82620401,3,"v0lv_04","v0lv_04_B0_01;v0lv_04_A_01;v0lv_04_R_01","core_B0_A_R_pair",TRUE
82620402,3,"v0lv_04","v0lv_04_B0_02;v0lv_04_A_02;v0lv_04_R_02","core_B0_A_R_pair",TRUE
