"item","value"
"standard_density_data_sets","10"
"standard_density_g12_endpoints","104"
"primary_endpoints_with_full_rds","72"
"secondary_aggregate_endpoints","32"
"exact_identity_endpoints","45"
"frozen_truth_free_winners","10"
"exact_frozen_winners","10"
"primary_process_role_rows","288"
"primary_loading_scale_rows","216"
"quality_summary_rows","108"
"convergence_conditional_quality_rows","24"
"process_summary_rows","10"
"loading_scale_summary_rows","36"
"new_data_generated","FALSE"
"new_fit_run","FALSE"
"continuation_run","FALSE"
"winner_selection_reopened","FALSE"
"formal_v0lv_result","FALSE"
