"structure_group","auxiliary_endpoint_pass","endpoints","metric","better","finite_values","mean","median","q25","q75","min","max"
"exact",TRUE,8,"signal_nrmse_ppi_selected","lower",8,0.155695507467663,0.159352254422149,0.150944403496176,0.166070653849748,0.136177872844757,0.166084028296682
"exact",TRUE,8,"dense_signal_nrmse_ppi_selected","lower",8,0.226488175470949,0.207372622689132,0.191480052356512,0.223917835042822,0.168745484216886,0.398471091853021
"exact",TRUE,8,"loading_relative_l2_error_mean","lower",8,0.136500034175618,0.124616733878906,0.106731673046092,0.138688566912373,0.103178913195704,0.249147825734353
"exact",TRUE,8,"feature_total_ise_mean","lower",8,0.0710356496684227,0.0712817310314562,0.0687340623265683,0.0716853072229818,0.0274874439851299,0.1206215380235
"exact",TRUE,8,"feature_estimate_to_projection_ise_mean","lower",8,0.0310581137053693,0.0230739888025377,0.0218728840025002,0.0405065762883918,0.00736002345561524,0.0706849351430541
"exact",TRUE,8,"kernel_relative_ise_mean","lower",8,0.108937973186249,0.119215613770379,0.101740921140552,0.120833817469762,0.0387839099247551,0.180633158308133
"exact",TRUE,8,"covariance_operator_relative_error_mean","lower",8,0.475810415564182,0.420220151011714,0.418771051482766,0.423475712175936,0.345837830994541,0.936816839490337
"exact",TRUE,8,"matched_function_recall_mean","higher",8,0.945529500259244,0.943557200748585,0.943146876527469,0.961043765167552,0.893063178847272,0.975686382544676
"exact",TRUE,8,"matched_trajectory_abs_cor_mean","higher",8,0.980808856438523,0.980297740459346,0.980228161043849,0.982232392672852,0.969150833405932,0.988894154418122
"exact",TRUE,8,"matched_score_abs_cor_mean","higher",8,0.962891252260854,0.956782761383635,0.956538696754884,0.963968490240833,0.948656484763925,0.989193216030304
"exact",TRUE,8,"factor_process_nrmse_mean_missing_as_zero","lower",6,0.228047104554668,0.231452385113652,0.224345231124433,0.240584822828709,0.196274717180383,0.243497991391899
"exact",TRUE,8,"complete_contribution_nrmse_mean_missing_as_zero","lower",6,0.189946994554788,0.19121298239902,0.185238063030931,0.205005720479921,0.154878215706879,0.209528063742018
"exact",FALSE,37,"signal_nrmse_ppi_selected","lower",37,0.175613952188348,0.173169016979969,0.165286659163679,0.194967418351347,0.136225023650698,0.226162934578999
"exact",FALSE,37,"dense_signal_nrmse_ppi_selected","lower",37,0.473041485065381,0.339570288285907,0.22612452606705,0.456972641136737,0.167566741047183,3.22135144882797
"exact",FALSE,37,"loading_relative_l2_error_mean","lower",37,0.265713670844897,0.138313403743419,0.113996771141259,0.250791302810648,0.0970438166413394,2.07782354763151
"exact",FALSE,37,"feature_total_ise_mean","lower",37,0.177944027294833,0.138287175112105,0.071829768858798,0.21340257953047,0.0271006193539587,0.568103363883227
"exact",FALSE,37,"feature_estimate_to_projection_ise_mean","lower",37,0.125499783088132,0.0687969083993783,0.0229242363593519,0.157681944062327,0.00694578794290593,0.517476566286164
"exact",FALSE,37,"kernel_relative_ise_mean","lower",37,0.241951605894767,0.214278608699202,0.121453650735011,0.312205698255214,0.038422210339108,0.723032222503563
"exact",FALSE,37,"covariance_operator_relative_error_mean","lower",37,1.86267454930489,0.667489025863785,0.421452465915267,0.868750602443957,0.342293283407953,30.7799783717329
"exact",FALSE,37,"matched_function_recall_mean","higher",37,0.880807220138159,0.906237731862934,0.840130960781211,0.942193884715646,0.62527877870774,0.976046761350358
"exact",FALSE,37,"matched_trajectory_abs_cor_mean","higher",37,0.970185437147255,0.969549018509768,0.963983692566326,0.979768547452047,0.923439332067286,0.988856218151834
"exact",FALSE,37,"matched_score_abs_cor_mean","higher",37,0.908405588147828,0.932583483666564,0.844233351949777,0.959561091634691,0.698815257060473,0.989644821375382
"exact",FALSE,37,"factor_process_nrmse_mean_missing_as_zero","lower",21,0.302733270146802,0.270603129598928,0.232922277721115,0.318343154507735,0.197273048079468,0.605328640484193
"exact",FALSE,37,"complete_contribution_nrmse_mean_missing_as_zero","lower",21,0.236571937974929,0.224978789197026,0.207881267570514,0.270251679187814,0.157231930986102,0.344204567008874
