"cohort","endpoint_group","endpoints","metric","better","finite_values","mean","median","q25","q75","min","max"
"all_cohorts","exact",45,"signal_nrmse_ppi_selected","lower",45,0.172072895349115,0.168300616521878,0.16304017280874,0.18963197998922,0.136177872844757,0.226162934578999
"all_cohorts","exact",45,"dense_signal_nrmse_ppi_selected","lower",45,0.429209785581926,0.290030899897427,0.220534351917247,0.434210952761362,0.167566741047183,3.22135144882797
"all_cohorts","exact",45,"loading_relative_l2_error_mean","lower",45,0.242742357659248,0.138228189009621,0.111359512577822,0.223076596499358,0.0970438166413394,2.07782354763151
"all_cohorts","exact",45,"feature_total_ise_mean","lower",45,0.158938093494582,0.0969290872048831,0.0710578646240627,0.210505383319093,0.0271006193539587,0.568103363883227
"all_cohorts","exact",45,"feature_estimate_to_projection_ise_mean","lower",45,0.108710152975641,0.0406542356720187,0.0225223933245332,0.149551793277102,0.00694578794290593,0.517476566286164
"all_cohorts","exact",45,"kernel_relative_ise_mean","lower",45,0.218304737857697,0.191484958227028,0.119982555667603,0.299333298542778,0.038422210339108,0.723032222503563
"all_cohorts","exact",45,"covariance_operator_relative_error_mean","lower",45,1.61612092552877,0.613197904049521,0.419651414904048,0.863274784081342,0.342293283407953,30.7799783717329
"all_cohorts","exact",45,"matched_function_recall_mean","higher",45,0.892313403270796,0.922160396741974,0.849824042237049,0.943523058021531,0.62527877870774,0.976046761350358
"all_cohorts","exact",45,"matched_trajectory_abs_cor_mean","higher",45,0.972074045021258,0.972677301721434,0.964864521164767,0.980319809267261,0.923439332067286,0.988894154418122
"all_cohorts","exact",45,"matched_score_abs_cor_mean","higher",45,0.918091928434589,0.948719452443631,0.872277098426505,0.959561091634691,0.698815257060473,0.989644821375382
"all_cohorts","exact",45,"factor_process_nrmse_mean_missing_as_zero","lower",27,0.286136344459661,0.247045920633226,0.230422653985774,0.296002281168158,0.196274717180383,0.605328640484193
"all_cohorts","exact",45,"complete_contribution_nrmse_mean_missing_as_zero","lower",27,0.22621083943712,0.213566599418387,0.201508550491553,0.25472486869737,0.154878215706879,0.344204567008874
"all_cohorts","nonexact",59,"signal_nrmse_ppi_selected","lower",59,0.392869173326695,0.383887884070367,0.32749030019551,0.427332479991097,0.272977836503584,0.558783388658427
"all_cohorts","nonexact",59,"dense_signal_nrmse_ppi_selected","lower",59,0.497223021234104,0.468940371052656,0.409644623022645,0.530979062724138,0.339410423305413,1.05716348459922
"all_cohorts","nonexact",59,"loading_relative_l2_error_mean","lower",59,0.190613058360495,0.139178353766253,0.114881324666538,0.225519476004537,0.0188124957072704,1.06917162717613
"all_cohorts","nonexact",59,"feature_total_ise_mean","lower",59,0.206290239828488,0.130282960664999,0.0899263893025586,0.317846008789168,0.0193657631518976,0.53835307340136
"all_cohorts","nonexact",59,"feature_estimate_to_projection_ise_mean","lower",59,0.161364239014941,0.0915852512507378,0.0408817318683419,0.264815155890482,0.00769473650903636,0.514884566735673
"all_cohorts","nonexact",59,"kernel_relative_ise_mean","lower",59,0.22154949302538,0.159903839133281,0.107827647537982,0.316472202593212,0.0294986283445375,0.958324459945133
"all_cohorts","nonexact",59,"covariance_operator_relative_error_mean","lower",59,0.951095214048138,0.74801162255548,0.654485798261867,0.847399263865671,0.463315058723389,3.990497622958
"all_cohorts","nonexact",59,"matched_function_recall_mean","higher",59,0.861183725597599,0.891986466544684,0.802842946598719,0.950497090895931,0.600709897010825,0.984516911647893
"all_cohorts","nonexact",59,"matched_trajectory_abs_cor_mean","higher",59,0.957049097642482,0.973275381976387,0.958913450757074,0.980624772595609,0.69262751661449,0.994135721844384
"all_cohorts","nonexact",59,"matched_score_abs_cor_mean","higher",59,0.89556270649766,0.925144560494038,0.854357210776263,0.955652297142233,0.561399514166473,0.989713232452682
