"fit_id","data_id","scenario_id","method_id","seed_index","fit_seed","terminal_status","actual_T1_sweeps","strict_practical_converged","objective_eligible","final_elbo","warning_count","elapsed_seconds","peak_memory_bytes","truth_used_for_fit_or_selection","formal_v0lv_result","selected_counts","global_correct","global_misplaced","global_missing","global_extra","global_duplicate","study_correct","study_misplaced","study_missing","study_candidate_extra","study_candidate_duplicate","strict_joint_recovery","strict_joint_correct_type","strict_joint_misplaced","matched_function_recall_mean","matched_trajectory_abs_cor_mean","matched_score_abs_cor_mean","signal_nrmse_ppi_selected","signal_nrmse_mean_only","P_A","P_B1","P_B2","dense_signal_nrmse_ppi_selected","dense_signal_relative_mise_ppi_selected","feature_components_total","feature_components_matched","feature_total_ise_mean","feature_projection_floor_ise_mean","feature_estimate_to_projection_ise_mean","factor_kernels_total","factor_kernels_matched","kernel_relative_ise_mean","covariance_operator_relative_error_mean","loading_relative_l2_error_mean","loading_support_ppi_auc_mean","exact_correct_1_1_1","auxiliary_ever_stable_5","auxiliary_maximum_streak","auxiliary_endpoint_pass","auxiliary_endpoint_stable_5","cohort","is_frozen_winner","structure_class","factor_process_nrmse_mean_missing_as_zero","complete_contribution_nrmse_mean_missing_as_zero","study_role_matched","study_role_truth_total"
"g12cs_base_01__G12CS__gram_unit_energy__08","g12cs_base_01","baseline_strong","gram_unit_energy",8,83023108,"max_budget_reached",200,FALSE,TRUE,-124972.496888764,1,2332.09990763664,236216696,FALSE,FALSE,"1,1,1",3,0,0,0,0,4,0,0,0,0,4,4,0,0.813995008080493,0.968771529273735,0.870726016167121,0.186152537983925,0.71470374128685,0.999787686842071,0.999703361703907,0.999164375264274,0.430786323235497,0.185576856286758,8,8,0.236722798509785,0.095900817920362,0.149897185038044,4,4,0.286177000687322,0.843350748796331,0.192040657141364,0.978296296296296,TRUE,FALSE,0,FALSE,FALSE,"cross_standard_secondary",TRUE,"exact_identity",,,,
"g12cs_base_02__G12CS__gram_unit_energy__08","g12cs_base_02","baseline_strong","gram_unit_energy",8,83023208,"max_budget_reached",200,FALSE,TRUE,-121635.975363804,1,2347.10197210312,240660240,FALSE,FALSE,"1,1,1",3,0,0,0,0,4,0,0,0,0,4,4,0,0.975395770341797,0.986873061885427,0.989141251396295,0.13689406607549,0.707259397624945,0.999661769953733,0.999467713134662,0.999766872559181,0.169089807602929,0.0285913630351955,8,8,0.0278283862084217,0.020475130107632,0.00774730256071557,4,4,0.0388720646611784,0.345952477575643,0.111630738716578,0.985985185185185,TRUE,FALSE,0,FALSE,FALSE,"cross_standard_secondary",TRUE,"exact_identity",,,,
"g12cs_weak_01__G12CS__gram_unit_energy__04","g12cs_weak_01","weak_loading_separation","gram_unit_energy",4,83023304,"max_budget_reached",200,FALSE,TRUE,-123634.171790259,1,2332.49296236038,240273768,FALSE,FALSE,"1,1,1",3,0,0,0,0,4,0,0,0,0,4,4,0,0.894192746197515,0.972677301721434,0.948719452443631,0.16309664797775,0.672847478604971,0.999286372276561,0.99935723394219,0.999339127868,0.399760224962115,0.15980823746176,8,8,0.118781273748981,0.0519420246125234,0.0687969083993783,4,4,0.180063225075794,0.940202901127733,0.250791302810648,0.983955555555556,TRUE,FALSE,0,FALSE,FALSE,"cross_standard_secondary",TRUE,"exact_identity",,,,
"g12cs_weak_02__G12CS__gram_unit_energy__03","g12cs_weak_02","weak_loading_separation","gram_unit_energy",3,83023403,"max_budget_reached",200,FALSE,TRUE,-121839.718532132,1,2339.4453587532,234633168,FALSE,FALSE,"1,1,1",3,0,0,0,0,4,0,0,0,0,4,4,0,0.78957083870347,0.959931724222812,0.832423392796073,0.18963197998922,0.654679434154297,0.999327719106262,0.999194622436455,0.998770325065323,0.531103794233791,0.282071240249529,8,8,0.332397024536655,0.0751811572159213,0.272254827381523,4,4,0.374493386048777,1.23373166983914,0.353127905231496,0.992355555555556,TRUE,FALSE,0,FALSE,FALSE,"cross_standard_secondary",TRUE,"exact_identity",,,,
"g12ic_01__G12IC__gram_unit_energy__01","g12ic_01","baseline_strong","gram_unit_energy",1,82922101,"max_budget_reached",200,FALSE,TRUE,-125772.509916312,1,2346.30440378189,241642184,FALSE,FALSE,"1,1,1",3,0,0,0,0,4,0,0,0,0,4,4,0,0.943156576153948,0.980174152082141,0.956227328552288,0.166079462525842,0.697013994853023,0.99981938075344,0.999281391468594,0.998967586826806,0.223823790922585,0.0500970893829571,8,8,0.0715055974388498,0.0497906266774476,0.0233066472225481,4,4,0.121174013803555,0.424459039471399,0.107003145022773,0.982740740740741,TRUE,TRUE,69,TRUE,TRUE,"independent_primary",TRUE,"exact_identity",0.2319720032175,0.209528063742018,4,4
"g12ic_02__G12IC__gram_unit_energy__08","g12ic_02","baseline_strong","gram_unit_energy",8,82922208,"max_budget_reached",200,FALSE,TRUE,-122928.094869553,1,2337.4377052784,236646760,FALSE,FALSE,"1,1,1",3,0,0,0,0,4,0,0,0,0,4,4,0,0.922160396741974,0.976269849234895,0.949223247257178,0.181241797983173,0.6526183785982,0.999773115378091,0.998621686455079,0.999260833084049,0.286884686416286,0.0823028233001706,8,8,0.0965953415311846,0.0629136761533432,0.0356470870110771,4,4,0.212813695185223,0.472727635883534,0.105701162169777,0.981911111111111,TRUE,FALSE,0,FALSE,FALSE,"independent_primary",TRUE,"exact_identity",0.247045920633226,0.210315976026767,4,4
"g12ic_03__G12IC__gram_unit_energy__03","g12ic_03","baseline_strong","gram_unit_energy",3,82922303,"max_budget_reached",200,FALSE,TRUE,-118784.332751685,1,2344.27500247955,233378608,FALSE,FALSE,"1,1,1",3,0,0,0,0,4,0,0,0,0,4,4,0,0.94381200262507,0.988894154418122,0.980330489244283,0.136177872844757,0.700434681157,0.999746478917863,0.999730301563361,0.999502905642937,0.189919631276931,0.0360694663443654,8,8,0.0638736276687558,0.0450414421480276,0.0211210688686033,4,4,0.0541597435503391,0.420556054056008,0.138228189009621,0.996059259259259,TRUE,TRUE,24,TRUE,TRUE,"independent_primary",TRUE,"exact_identity",0.196274717180383,0.154878215706879,4,4
"g12ic_04__G12IC__gram_unit_energy__03","g12ic_04","baseline_strong","gram_unit_energy",3,82922403,"max_budget_reached",200,FALSE,TRUE,-121205.289148484,1,2344.16145992279,235456544,FALSE,FALSE,"1,1,1",3,0,0,0,0,4,0,0,0,0,4,4,0,0.961058997739172,0.980246164031085,0.956747913866542,0.155664336035557,0.630934839660457,0.99943554279694,0.999026771527331,0.999629184850191,0.192000192716373,0.0368640740031244,8,8,0.0717067631459022,0.0324863555156086,0.0405279707084271,4,4,0.117880259072307,0.419651414904048,0.138617301535619,0.990251851851852,TRUE,TRUE,86,TRUE,TRUE,"independent_primary",TRUE,"exact_identity",0.243497991391899,0.185370859573818,4,4
"g12ic_05__G12IC__gram_unit_energy__06","g12ic_05","baseline_strong","gram_unit_energy",6,82922506,"max_budget_reached",200,FALSE,TRUE,-122170.139922545,1,2350.36332535744,230695368,FALSE,FALSE,"1,1,1",3,0,0,0,0,4,0,0,0,0,4,4,0,0.886156922782678,0.964597509593697,0.922584511867448,0.194967418351347,0.677458672247098,0.99958843405778,0.999019206018688,0.999415888987575,0.358367045990104,0.128426939651673,8,8,0.210505383319093,0.0741017899239708,0.147688891189822,4,4,0.312205698255214,0.668703704970748,0.13491577970964,0.984296296296296,TRUE,FALSE,0,FALSE,FALSE,"independent_primary",TRUE,"exact_identity",0.293475557303209,0.268836147987576,4,4
"g12ic_06__G12IC__gram_unit_energy__02","g12ic_06","baseline_strong","gram_unit_energy",2,82922602,"max_budget_reached",200,FALSE,TRUE,-123120.258144162,1,2338.26739096642,236112848,FALSE,FALSE,"1,1,1",3,0,0,0,0,4,0,0,0,0,4,4,0,0.924338943975871,0.974212316843217,0.961707747664781,0.167769796310726,0.691322506065803,0.999748425489921,0.998980439580967,0.999655670010749,0.273811971100765,0.0749729955180862,8,8,0.0839444844951762,0.0602065887344701,0.0262450117889231,4,4,0.193693376366041,0.629932074499843,0.152377379520733,0.990622222222222,TRUE,FALSE,0,FALSE,FALSE,"independent_primary",TRUE,"exact_identity",0.270603129598928,0.222901015949345,4,4
