"experiment_id","scenario_id","data_id","method_id","endpoints","exact_correct_n","strict_n","quantile_factor_alternative_ever_5_n","remove_ppi_max_alone_reaches_5_n"
"G12CS_20260823","baseline_strong","g12cs_base_01","current_1_over_m",8,0,0,4,4
"G12CS_20260823","baseline_strong","g12cs_base_01","gram_unit_energy",8,2,0,1,1
"G12CS_20260823","baseline_strong","g12cs_base_02","current_1_over_m",8,1,0,3,3
"G12CS_20260823","baseline_strong","g12cs_base_02","gram_unit_energy",8,5,0,2,2
"G12CS_20260823","sparse_observation","g12cs_sparse_01","current_1_over_m",8,0,3,6,6
"G12CS_20260823","sparse_observation","g12cs_sparse_01","gram_unit_energy",8,1,0,3,3
"G12CS_20260823","sparse_observation","g12cs_sparse_02","current_1_over_m",8,0,1,7,7
"G12CS_20260823","sparse_observation","g12cs_sparse_02","gram_unit_energy",8,4,0,0,0
"G12CS_20260823","weak_loading_separation","g12cs_weak_01","current_1_over_m",8,1,1,6,6
"G12CS_20260823","weak_loading_separation","g12cs_weak_01","gram_unit_energy",8,6,0,2,2
"G12CS_20260823","weak_loading_separation","g12cs_weak_02","current_1_over_m",8,0,1,4,4
"G12CS_20260823","weak_loading_separation","g12cs_weak_02","gram_unit_energy",8,5,0,0,0
"G12IC_20260822","independent_baseline_strong","g12ic_01","current_1_over_m",12,1,0,8,8
"G12IC_20260822","independent_baseline_strong","g12ic_01","gram_unit_energy",12,7,0,3,3
"G12IC_20260822","independent_baseline_strong","g12ic_02","current_1_over_m",12,0,0,7,7
"G12IC_20260822","independent_baseline_strong","g12ic_02","gram_unit_energy",12,4,0,2,2
"G12IC_20260822","independent_baseline_strong","g12ic_03","current_1_over_m",12,1,0,8,8
"G12IC_20260822","independent_baseline_strong","g12ic_03","gram_unit_energy",12,3,0,5,5
"G12IC_20260822","independent_baseline_strong","g12ic_04","current_1_over_m",12,1,1,9,9
"G12IC_20260822","independent_baseline_strong","g12ic_04","gram_unit_energy",12,3,0,8,8
"G12IC_20260822","independent_baseline_strong","g12ic_05","current_1_over_m",12,3,1,4,4
"G12IC_20260822","independent_baseline_strong","g12ic_05","gram_unit_energy",12,5,0,1,1
"G12IC_20260822","independent_baseline_strong","g12ic_06","current_1_over_m",12,2,0,6,6
"G12IC_20260822","independent_baseline_strong","g12ic_06","gram_unit_energy",12,5,0,5,5
