"method_id","exact_correct_1_1_1","endpoints","gate","pass_n","pass_rate"
"current_1_over_m",FALSE,110,"strict_practical",8,0.0727272727272727
"current_1_over_m",FALSE,110,"endpoint_objective",110,1
"current_1_over_m",FALSE,110,"endpoint_fitted",71,0.645454545454546
"current_1_over_m",FALSE,110,"endpoint_rss",81,0.736363636363636
"current_1_over_m",FALSE,110,"endpoint_ppi_max",8,0.0727272727272727
"current_1_over_m",FALSE,110,"endpoint_quantile_factor",110,1
"current_1_over_m",FALSE,110,"remove_ppi_max_ever_5",71,0.645454545454546
"current_1_over_m",FALSE,110,"quantile_factor_ever_5",71,0.645454545454546
"current_1_over_m",FALSE,110,"output_only_quantile_factor_ever_5",71,0.645454545454546
"current_1_over_m",TRUE,10,"strict_practical",0,0
"current_1_over_m",TRUE,10,"endpoint_objective",10,1
"current_1_over_m",TRUE,10,"endpoint_fitted",1,0.1
"current_1_over_m",TRUE,10,"endpoint_rss",1,0.1
"current_1_over_m",TRUE,10,"endpoint_ppi_max",0,0
"current_1_over_m",TRUE,10,"endpoint_quantile_factor",10,1
"current_1_over_m",TRUE,10,"remove_ppi_max_ever_5",1,0.1
"current_1_over_m",TRUE,10,"quantile_factor_ever_5",1,0.1
"current_1_over_m",TRUE,10,"output_only_quantile_factor_ever_5",1,0.1
"gram_unit_energy",FALSE,70,"strict_practical",0,0
"gram_unit_energy",FALSE,70,"endpoint_objective",69,0.985714285714286
"gram_unit_energy",FALSE,70,"endpoint_fitted",25,0.357142857142857
"gram_unit_energy",FALSE,70,"endpoint_rss",33,0.471428571428571
"gram_unit_energy",FALSE,70,"endpoint_ppi_max",0,0
"gram_unit_energy",FALSE,70,"endpoint_quantile_factor",69,0.985714285714286
"gram_unit_energy",FALSE,70,"remove_ppi_max_ever_5",25,0.357142857142857
"gram_unit_energy",FALSE,70,"quantile_factor_ever_5",25,0.357142857142857
"gram_unit_energy",FALSE,70,"output_only_quantile_factor_ever_5",25,0.357142857142857
"gram_unit_energy",TRUE,50,"strict_practical",0,0
"gram_unit_energy",TRUE,50,"endpoint_objective",48,0.96
"gram_unit_energy",TRUE,50,"endpoint_fitted",15,0.3
"gram_unit_energy",TRUE,50,"endpoint_rss",8,0.16
"gram_unit_energy",TRUE,50,"endpoint_ppi_max",0,0
"gram_unit_energy",TRUE,50,"endpoint_quantile_factor",48,0.96
"gram_unit_energy",TRUE,50,"remove_ppi_max_ever_5",7,0.14
"gram_unit_energy",TRUE,50,"quantile_factor_ever_5",7,0.14
"gram_unit_energy",TRUE,50,"output_only_quantile_factor_ever_5",7,0.14
