"method_id","exact_correct_1_1_1","endpoints","metric","n_finite","mean","median"
"current_1_over_m",FALSE,110,"signal_nrmse_ppi_selected",110,0.46734810895108,0.477483029031091
"current_1_over_m",FALSE,110,"dense_signal_nrmse_ppi_selected",110,0.613283146134925,0.572136705299485
"current_1_over_m",FALSE,110,"feature_total_ise_mean",103,0.245029603115415,0.11972862657925
"current_1_over_m",FALSE,110,"feature_estimate_to_projection_ise_mean",103,0.207655003356394,0.0717237445287532
"current_1_over_m",FALSE,110,"loading_relative_l2_error_mean",103,0.290191985705638,0.175861915120251
"current_1_over_m",FALSE,110,"matched_function_recall_mean",110,0.794416441883544,0.901117549270255
"current_1_over_m",FALSE,110,"matched_trajectory_abs_cor_mean",110,0.89465814454572,0.974241999498119
"current_1_over_m",FALSE,110,"matched_score_abs_cor_mean",110,0.801885122833788,0.928648047547073
"current_1_over_m",FALSE,110,"kernel_relative_ise_mean",103,0.26770110488618,0.166183315606008
"current_1_over_m",FALSE,110,"covariance_operator_relative_error_mean",110,1.5737050873762,0.865883274152789
"current_1_over_m",FALSE,110,"feature_component_coverage",110,0.511363636363636,0.5
"current_1_over_m",TRUE,10,"signal_nrmse_ppi_selected",10,0.175159351029706,0.169386369575703
"current_1_over_m",TRUE,10,"dense_signal_nrmse_ppi_selected",10,0.305262151950935,0.322135832194314
"current_1_over_m",TRUE,10,"feature_total_ise_mean",10,0.151548844971769,0.103899124822583
"current_1_over_m",TRUE,10,"feature_estimate_to_projection_ise_mean",10,0.101832054981551,0.0530332053379914
"current_1_over_m",TRUE,10,"loading_relative_l2_error_mean",10,0.159845537880847,0.133423592291715
"current_1_over_m",TRUE,10,"matched_function_recall_mean",10,0.896604033375383,0.907067698504166
"current_1_over_m",TRUE,10,"matched_trajectory_abs_cor_mean",10,0.967355810016435,0.97420841292372
"current_1_over_m",TRUE,10,"matched_score_abs_cor_mean",10,0.923075659689215,0.941133428689877
"current_1_over_m",TRUE,10,"kernel_relative_ise_mean",10,0.184850369778271,0.191833839600819
"current_1_over_m",TRUE,10,"covariance_operator_relative_error_mean",10,0.620077624837932,0.647100337410986
"current_1_over_m",TRUE,10,"feature_component_coverage",10,1,1
"gram_unit_energy",FALSE,70,"signal_nrmse_ppi_selected",70,0.39271146815488,0.384355516774791
"gram_unit_energy",FALSE,70,"dense_signal_nrmse_ppi_selected",70,0.533901000593442,0.501021474231748
"gram_unit_energy",FALSE,70,"feature_total_ise_mean",70,0.242528729418742,0.176545768717252
"gram_unit_energy",FALSE,70,"feature_estimate_to_projection_ise_mean",70,0.200825407994916,0.119150241189968
"gram_unit_energy",FALSE,70,"loading_relative_l2_error_mean",70,0.216420002299698,0.156250456168724
"gram_unit_energy",FALSE,70,"matched_function_recall_mean",70,0.840713137117261,0.877167788921535
"gram_unit_energy",FALSE,70,"matched_trajectory_abs_cor_mean",70,0.959638623343921,0.973919568544046
"gram_unit_energy",FALSE,70,"matched_score_abs_cor_mean",70,0.863111658945813,0.907916766703888
"gram_unit_energy",FALSE,70,"kernel_relative_ise_mean",70,0.246744246298147,0.17318807907797
"gram_unit_energy",FALSE,70,"covariance_operator_relative_error_mean",70,1.03324749636197,0.769878159889112
"gram_unit_energy",FALSE,70,"feature_component_coverage",70,0.692857142857143,0.75
"gram_unit_energy",TRUE,50,"signal_nrmse_ppi_selected",50,0.172062453610304,0.168060350190019
"gram_unit_energy",TRUE,50,"dense_signal_nrmse_ppi_selected",50,0.468809188431035,0.338652722026394
"gram_unit_energy",TRUE,50,"feature_total_ise_mean",50,0.185487700295979,0.11970140588624
"gram_unit_energy",TRUE,50,"feature_estimate_to_projection_ise_mean",50,0.137309753771798,0.0684168195283487
"gram_unit_energy",TRUE,50,"loading_relative_l2_error_mean",50,0.253818996134631,0.138759832289127
"gram_unit_energy",TRUE,50,"matched_function_recall_mean",50,0.87745406098268,0.906638174246331
"gram_unit_energy",TRUE,50,"matched_trajectory_abs_cor_mean",50,0.971929024523421,0.972394237580873
"gram_unit_energy",TRUE,50,"matched_score_abs_cor_mean",50,0.896313824427752,0.945884200260454
"gram_unit_energy",TRUE,50,"kernel_relative_ise_mean",50,0.247441926751634,0.195578957013717
"gram_unit_energy",TRUE,50,"covariance_operator_relative_error_mean",50,1.6509633210842,0.656050965349748
"gram_unit_energy",TRUE,50,"feature_component_coverage",50,1,1
