"method_id","strict_practical_converged","endpoints","metric","n_finite","mean","median"
"current_1_over_m",FALSE,112,"signal_nrmse_ppi_selected",112,0.4293010559505,0.439626222799556
"current_1_over_m",FALSE,112,"dense_signal_nrmse_ppi_selected",112,0.580613956274848,0.530748954702374
"current_1_over_m",FALSE,112,"feature_total_ise_mean",112,0.233289946767667,0.116475591043748
"current_1_over_m",FALSE,112,"feature_estimate_to_projection_ise_mean",112,0.1947125430509,0.0692047411941487
"current_1_over_m",FALSE,112,"loading_relative_l2_error_mean",112,0.278965381095437,0.165298693945242
"current_1_over_m",FALSE,112,"matched_function_recall_mean",112,0.855296638179075,0.910083654354252
"current_1_over_m",FALSE,112,"matched_trajectory_abs_cor_mean",112,0.956339840443563,0.974993998497522
"current_1_over_m",FALSE,112,"matched_score_abs_cor_mean",112,0.864041772877788,0.938211921122436
"current_1_over_m",FALSE,112,"kernel_relative_ise_mean",112,0.260227117983758,0.168137166972529
"current_1_over_m",FALSE,112,"covariance_operator_relative_error_mean",112,1.53057694540398,0.837633723476664
"current_1_over_m",FALSE,112,"feature_component_coverage",112,0.587053571428571,0.5
"current_1_over_m",TRUE,8,"signal_nrmse_ppi_selected",8,0.634770903557485,0.649843308279452
"current_1_over_m",TRUE,8,"dense_signal_nrmse_ppi_selected",8,0.685625561446008,0.69166556566038
"current_1_over_m",TRUE,8,"feature_total_ise_mean",1,0.625063532626686,0.625063532626686
"current_1_over_m",TRUE,8,"feature_estimate_to_projection_ise_mean",1,0.598981073823281,0.598981073823281
"current_1_over_m",TRUE,8,"loading_relative_l2_error_mean",1,0.244107223800247,0.244107223800247
"current_1_over_m",TRUE,8,"matched_function_recall_mean",8,0.0698281831109012,0
"current_1_over_m",TRUE,8,"matched_trajectory_abs_cor_mean",8,0.121986483814306,0
"current_1_over_m",TRUE,8,"matched_score_abs_cor_mean",8,0.0831801932870753,0
"current_1_over_m",TRUE,8,"kernel_relative_ise_mean",1,0.276280286878348,0.276280286878348
"current_1_over_m",TRUE,8,"covariance_operator_relative_error_mean",8,0.98546474681439,1
"current_1_over_m",TRUE,8,"feature_component_coverage",8,0.0625,0
"gram_unit_energy",FALSE,120,"signal_nrmse_ppi_selected",120,0.300774378761306,0.321706858768936
"gram_unit_energy",FALSE,120,"dense_signal_nrmse_ppi_selected",120,0.506779412192439,0.446325062939512
"gram_unit_energy",FALSE,120,"feature_total_ise_mean",120,0.218761633950924,0.153115923253401
"gram_unit_energy",FALSE,120,"feature_estimate_to_projection_ise_mean",120,0.174360552068617,0.104039865101988
"gram_unit_energy",FALSE,120,"loading_relative_l2_error_mean",120,0.232002916397587,0.13987199220864
"gram_unit_energy",FALSE,120,"matched_function_recall_mean",120,0.856021855394519,0.89203674272327
"gram_unit_energy",FALSE,120,"matched_trajectory_abs_cor_mean",120,0.964759623835379,0.97345381680447
"gram_unit_energy",FALSE,120,"matched_score_abs_cor_mean",120,0.876945894563288,0.923667952184285
"gram_unit_energy",FALSE,120,"kernel_relative_ise_mean",120,0.2470349464871,0.191650294781122
"gram_unit_energy",FALSE,120,"covariance_operator_relative_error_mean",120,1.29062908999624,0.734305608749998
"gram_unit_energy",FALSE,120,"feature_component_coverage",120,0.820833333333333,0.75
