"fit_id","scenario_id","data_id","method_id","seed_index","t1_sweeps","exact_correct_1_1_1","strict_practical_converged","original_longest_streak","quantile_factor_alternative_ever_5","output_only_quantile_factor_ever_5","endpoint_objective_pass","endpoint_fitted_gate_pass","endpoint_rss_gate_pass","endpoint_ppi_max_gate_pass","endpoint_ppi_quantile_factor_gate_pass","minimum_gate_groups_removed_for_5_streak","minimal_removed_gate_sets","remove_objective_alone_reaches_5","remove_fitted_alone_reaches_5","remove_rss_alone_reaches_5","remove_ppi_max_alone_reaches_5","endpoint_ppi_max_abs","endpoint_ppi_quantile_abs","endpoint_factor_ppi_max_abs","endpoint_long_ppi_max_abs","endpoint_long_ppi_quantile_abs","endpoint_long_factor_ppi_max_abs"
"g12cs_base_01__G12CS__current_1_over_m__01","baseline_strong","g12cs_base_01","current_1_over_m",1,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.011007070100462,0.000345876772805515,2.9126701051041e-12,0.037869927153877,0.00119237015181895,3.83307829920909e-11
"g12cs_base_01__G12CS__current_1_over_m__02","baseline_strong","g12cs_base_01","current_1_over_m",2,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00400348298035827,7.91041658990002e-05,2.87192492010035e-12,0.0126769901268615,0.000252399956107635,4.06223943372197e-11
"g12cs_base_01__G12CS__current_1_over_m__03","baseline_strong","g12cs_base_01","current_1_over_m",3,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,"fitted+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0208817289514048,0.000158688156553713,3.2888136658471e-12,0.065155264053626,0.000628444577911222,4.29779545285669e-11
"g12cs_base_01__G12CS__current_1_over_m__04","baseline_strong","g12cs_base_01","current_1_over_m",4,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0286936237112189,0.000307337235908978,3.3353320105789e-11,0.123173982979498,0.000933013961764506,2.01286320944405e-10
"g12cs_base_01__G12CS__current_1_over_m__05","baseline_strong","g12cs_base_01","current_1_over_m",5,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,"rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0176143160700662,0.000254364950604267,1.42952316650735e-11,0.0449364971925678,0.00084789837847351,7.25337567786255e-11
"g12cs_base_01__G12CS__current_1_over_m__06","baseline_strong","g12cs_base_01","current_1_over_m",6,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0137117528043758,0.000378866797489584,2.6887381210372e-12,0.0421234953181689,0.00134948885119442,3.91703336433125e-11
"g12cs_base_01__G12CS__current_1_over_m__07","baseline_strong","g12cs_base_01","current_1_over_m",7,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.0190828245223344,0.000312343013434016,6.99751367960744e-12,0.0608843541590867,0.00100565417107808,4.29778435062644e-11
"g12cs_base_01__G12CS__current_1_over_m__08","baseline_strong","g12cs_base_01","current_1_over_m",8,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00950034000614897,0.0003492003416424,2.90933943603022e-12,0.0307650870452255,0.00116627723556667,3.8317349293493e-11
"g12cs_base_01__G12CS__gram_unit_energy__01","baseline_strong","g12cs_base_01","gram_unit_energy",1,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,"fitted+ppi_max",FALSE,FALSE,FALSE,FALSE,0.00931195659011838,0.000465196722211283,5.916267475925e-12,0.0354488108011621,0.0014973038594584,2.8503088778109e-11
"g12cs_base_01__G12CS__gram_unit_energy__02","baseline_strong","g12cs_base_01","gram_unit_energy",2,200,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0987669894970619,0.000436486468527779,1.15455422999844e-10,0.242956369932229,0.00188827971153828,5.89458482025407e-10
