"fit_id","data_id","scenario_id","method_id","function_initialization","calibration_mode","seed_index","fit_seed","paired_seed_id","terminal_status","actual_T1_sweeps","strict_practical_converged","objective_eligible","final_elbo","warning_count","elapsed_seconds","peak_memory_bytes","truth_used_for_fit_or_selection","cross_scenario_development","formal_v0lv_result","truth_global_direction_count","truth_study_role_count","candidate_shared","candidate_specific_study_1","candidate_specific_study_2","selected_shared","selected_specific_study_1","selected_specific_study_2","selected_counts","selected_loading_rank_shared","selected_loading_rank_specific_study_1","selected_loading_rank_specific_study_2","R_A","R_B1","R_B2","L_B1_to_A","L_B2_to_A","L_A_to_B1","L_A_to_B2","global_correct","global_misplaced","global_missing","global_extra","global_duplicate","study_correct","study_misplaced","study_missing","study_candidate_extra","study_candidate_duplicate","strict_joint_recovery","strict_joint_correct_type","strict_joint_misplaced","matched_function_recall_mean","matched_trajectory_abs_cor_mean","matched_score_abs_cor_mean","correctly_placed_function_recall_mean","correctly_placed_trajectory_abs_cor_mean","correctly_placed_score_abs_cor_mean","shared_effective_M","specific_effective_M_study_1","specific_effective_M_study_2","signal_nrmse_all_candidates","signal_nrmse_ppi_selected","signal_nrmse_mean_only","iterations","t1_sweeps","continuation_used","P_A","P_B1","P_B2","min_correct_block_R","max_cross_block_L","dense_signal_nrmse_ppi_selected","dense_signal_relative_mise_ppi_selected","dense_signal_nrmse_all_candidates","feature_components_total","feature_components_matched","feature_total_ise_mean","feature_projection_floor_ise_mean","feature_estimate_to_projection_ise_mean","factor_kernels_total","factor_kernels_matched","kernel_relative_ise_mean","covariance_operator_relative_error_mean","loading_relative_l2_error_mean","loading_support_ppi_auc_mean","exact_correct_1_1_1"
"g12cs_base_01__G12CS__current_1_over_m__01","g12cs_base_01","baseline_strong","current_1_over_m","current_1_over_m","none",1,83023101,"g12cs_base_01__seed_1","max_budget_reached",200,FALSE,TRUE,-131034.92953332,1,2199.80433535576,236017464,FALSE,TRUE,FALSE,3,4,1,1,1,1,1,0,"1,1,0",1,1,0,0.999774733847518,0.999703034857737,0,4.31034890650982e-10,1.2584197537917e-09,1.29051338900057e-11,0,2,0,1,0,0,3,0,1,0,0,3,3,0,0.854862019592675,0.973799316559231,0.650062210952608,0.854862019592675,0.973799316559231,0.650062210952608,"2","2","2",0.341647555703622,0.341647555703622,0.715545125067168,299,200,FALSE,0.999774733847518,0.999703034857737,0,0,1.2584197537917e-09,0.753684725365053,0.568040665248596,0.753684725365053,8,6,0.471163764410478,0.095900817920362,0.411918130424782,4,3,0.718088561308378,2.38457248833119,0.518686214130113,0.973711111111111,FALSE
"g12cs_base_01__G12CS__current_1_over_m__02","g12cs_base_01","baseline_strong","current_1_over_m","current_1_over_m","none",2,83023102,"g12cs_base_01__seed_2","max_budget_reached",200,FALSE,TRUE,-140269.344917147,1,2067.2486448288,218638168,FALSE,TRUE,FALSE,3,4,1,1,1,1,0,0,"1,0,0",1,0,0,0.999766164364088,0,0,1.59237395375305e-07,9.15221374090896e-08,0,0,1,0,2,0,0,2,0,2,0,0,2,2,0,0.797774008601521,0.972884399608793,0.49462644865311,0.797774008601521,0.972884399608793,0.49462644865311,"2","2","2",0.505013876227317,0.505013876227317,0.703345498662015,299,200,FALSE,0.999766164364088,0,0,0,1.59237395375305e-07,0.854356726121828,0.729925415469609,0.854356726121828,8,4,0.664877345417776,0.095900817920362,0.588226350384868,4,2,1.04436179562867,2.54699056731846,0.938809074141729,0.9572,FALSE
"g12cs_base_01__G12CS__current_1_over_m__03","g12cs_base_01","baseline_strong","current_1_over_m","current_1_over_m","none",3,83023103,"g12cs_base_01__seed_3","max_budget_reached",200,FALSE,TRUE,-145868.224857439,1,2005.00415873528,214331832,FALSE,TRUE,FALSE,3,4,1,1,1,0,1,0,"0,1,0",0,1,0,0,0.999331132633915,0,0,0,0.000272754107384469,0,1,0,2,0,0,1,0,3,0,0,1,1,0,0.966826868456778,0.97272764469014,0.973516385856872,0.966826868456778,0.97272764469014,0.973516385856872,"2","2","2",0.586966714309073,0.586966714309073,0.711265469799209,299,200,FALSE,0,0.999331132633915,0,0,0.000272754107384469,0.621225408748548,0.3859210084748,0.621225408748548,8,2,0.0462666266628522,0.095900817920362,0.0203716774684561,4,1,0.12326576549908,0.898853657207577,0.147828677841812,0.989022222222222,FALSE
"g12cs_base_01__G12CS__current_1_over_m__04","g12cs_base_01","baseline_strong","current_1_over_m","current_1_over_m","none",4,83023104,"g12cs_base_01__seed_4","max_budget_reached",200,FALSE,TRUE,-131347.984243402,1,2203.56186366081,236173592,FALSE,TRUE,FALSE,3,4,1,1,1,1,1,0,"1,1,0",1,1,0,0.999784889242813,0.999704434616203,0,2.08396793916961e-10,5.64332609873551e-10,2.81552428746776e-10,0,2,0,1,0,0,3,0,1,0,0,3,3,0,0.837762287050877,0.970543982087892,0.820956813215808,0.837762287050877,0.970543982087892,0.820956813215808,"2","2","2",0.343707506752169,0.343707506752169,0.715268048004049,299,200,FALSE,0.999784889242813,0.999704434616203,0,0,5.64332609873551e-10,0.623754227146829,0.389069335883539,0.623754227146829,8,6,0.377825558194035,0.095900817920362,0.324729393649516,4,3,0.547167438188269,1.50789436158871,0.353463801099792,0.973888888888889,FALSE
"g12cs_base_01__G12CS__current_1_over_m__05","g12cs_base_01","baseline_strong","current_1_over_m","current_1_over_m","none",5,83023105,"g12cs_base_01__seed_5","max_budget_reached",200,FALSE,TRUE,-142386.118780807,1,2185.19840025902,236267888,FALSE,TRUE,FALSE,3,4,1,1,1,1,0,1,"1,0,1",1,0,1,0.999488498675971,0,1.39033134649498e-07,2.12827007990346e-08,2.57875582172978e-09,0,0.998721995965279,1,0,2,0,1,2,0,2,0,1,1,1,0,0.394425978007454,0.780467127206833,0.687489464303741,0.394425978007454,0.780467127206833,0.687489464303741,"2","2","2",0.515789298126527,0.515789298126527,0.700492534890087,299,200,FALSE,0.999488498675971,0,1.39033134649498e-07,0,0.998721995965279,0.790203040279482,0.624420844866936,0.790203040279482,8,4,1.00165249753198,0.095900817920362,0.938186750498285,4,2,0.772684010867913,1.69959225914847,0.307337085282861,0.951733333333333,FALSE
"g12cs_base_01__G12CS__current_1_over_m__06","g12cs_base_01","baseline_strong","current_1_over_m","current_1_over_m","none",6,83023106,"g12cs_base_01__seed_6","max_budget_reached",200,FALSE,TRUE,-139319.228822767,1,2191.18851947784,236261256,FALSE,TRUE,FALSE,3,4,1,1,1,1,0,1,"1,0,1",1,0,1,0.000181671559049529,0,0.999161800774348,0.999454461486747,0.00653290539294922,0,7.66474897201707e-08,1,1,1,0,0,1,1,2,1,0,2,1,1,0.897324431536933,0.974004946878971,0.962581344799143,0.827460820965826,0.972748391244108,0.949899969192949,"2","2","2",0.509132847135148,0.509132847135148,0.708909546346448,299,200,FALSE,0.000181671559049529,0,0.999161800774348,0,0.999454461486747,0.534694255708996,0.285897947088197,0.534694255708996,8,4,0.126948558863409,0.095900817920362,0.0394887533375573,4,2,0.113115708081389,0.843452313992069,0.15796548635727,0.987244444444444,FALSE
"g12cs_base_01__G12CS__current_1_over_m__07","g12cs_base_01","baseline_strong","current_1_over_m","current_1_over_m","none",7,83023107,"g12cs_base_01__seed_7","max_budget_reached",200,FALSE,TRUE,-146095.17455235,1,1995.51977515221,214868008,FALSE,TRUE,FALSE,3,4,1,1,1,0,1,0,"0,1,0",0,1,0,0,0.999195923022225,0,0,0,0.000365019180854311,0,1,0,2,0,0,1,0,3,0,0,1,1,0,0.919183619572853,0.966420453308929,0.969212626554297,0.919183619572853,0.966420453308929,0.969212626554297,"2","2","2",0.587406061961367,0.587406061961367,0.711110114799001,299,200,FALSE,0,0.999195923022225,0,0,0.000365019180854311,0.625648537636486,0.391436092646673,0.625648537636486,8,2,0.0887674153874831,0.095900817920362,0.0635403713779227,4,1,0.132531786284594,0.91130857660312,0.181941974159871,0.989244444444444,FALSE
"g12cs_base_01__G12CS__current_1_over_m__08","g12cs_base_01","baseline_strong","current_1_over_m","current_1_over_m","none",8,83023108,"g12cs_base_01__seed_8","max_budget_reached",200,FALSE,TRUE,-131089.02981026,1,2205.31642818451,236056136,FALSE,TRUE,FALSE,3,4,1,1,1,1,1,0,"1,1,0",1,1,0,0.999778572157203,0.999703712178962,0,7.46278634012198e-10,2.06137412398645e-09,1.41748717802905e-11,0,2,0,1,0,0,3,0,1,0,0,3,3,0,0.856245629725308,0.973806281459045,0.638860284497485,0.856245629725308,0.973806281459045,0.638860284497485,"2","2","2",0.341652598491456,0.341652598491456,0.715748034784787,299,200,FALSE,0.999778572157203,0.999703712178962,0,0,2.06137412398645e-09,0.731076256795577,0.534472493250233,0.731076256795577,8,6,0.49264543928195,0.095900817920362,0.434375545994162,4,3,0.698325787645062,2.23810765473982,0.493249866370857,0.973733333333333,FALSE
"g12cs_base_01__G12CS__gram_unit_energy__01","g12cs_base_01","baseline_strong","gram_unit_energy","gram_unit_energy","function",1,83023101,"g12cs_base_01__seed_1","max_budget_reached",200,FALSE,TRUE,-139348.711513637,1,2214.96183657646,236062440,FALSE,TRUE,FALSE,3,4,1,1,1,1,0,1,"1,0,1",1,0,1,0.000193566300688597,0,0.999159116633751,0.999440146687707,0.00652145168217477,0,1.13573621118873e-07,1,1,1,0,0,1,1,2,1,0,2,1,1,0.899373255324398,0.974258454605217,0.963700245828553,0.832993893810655,0.975608505830089,0.951474733630131,"2","2","2",0.509131797234907,0.509131797234907,0.707509883328608,299,200,FALSE,0.000193566300688597,0,0.999159116633751,0,0.999440146687707,0.534782227648922,0.285992031009144,0.534782227648922,8,4,0.119591434050885,0.095900817920362,0.0283912668620284,4,2,0.109199223426015,0.84635996908939,0.163514392876103,0.987333333333333,FALSE
"g12cs_base_01__G12CS__gram_unit_energy__02","g12cs_base_01","baseline_strong","gram_unit_energy","gram_unit_energy","function",2,83023102,"g12cs_base_01__seed_2","max_budget_reached",200,FALSE,TRUE,-134597.911558797,1,2182.98141622543,236030568,FALSE,TRUE,FALSE,3,4,1,1,1,1,0,1,"1,0,1",1,0,1,0.999789269995862,0,0.999161244084912,3.37282918302673e-08,6.54044396062903e-10,0,5.61318666454173e-10,2,0,1,0,0,3,0,1,0,0,3,3,0,0.79102989278738,0.96494319434897,0.855699501311059,0.79102989278738,0.96494319434897,0.855699501311059,"2","2","2",0.417239364606062,0.417239364606062,0.702110123760776,299,200,FALSE,0.999789269995862,0,0.999161244084912,0,3.37282918302673e-08,0.519192003283771,0.269560336273815,0.519192003283771,8,6,0.230633539843077,0.095900817920362,0.118673087046214,4,3,0.26401021976116,0.78109485201405,0.159040524678685,0.972466666666667,FALSE
