"fit_id","data_id","method_id","calibration_mode","seed_index","fit_seed","paired_seed_id","terminal_status","actual_T1_sweeps","strict_practical_converged","objective_eligible","final_elbo","warning_count","elapsed_seconds","peak_memory_bytes","truth_used_for_fit_or_selection","formal_v0lv_result","truth_global_direction_count","truth_study_role_count","candidate_shared","candidate_specific_study_1","candidate_specific_study_2","selected_shared","selected_specific_study_1","selected_specific_study_2","selected_counts","selected_loading_rank_shared","selected_loading_rank_specific_study_1","selected_loading_rank_specific_study_2","R_A","R_B1","R_B2","L_B1_to_A","L_B2_to_A","L_A_to_B1","L_A_to_B2","global_correct","global_misplaced","global_missing","global_extra","global_duplicate","study_correct","study_misplaced","study_missing","study_candidate_extra","study_candidate_duplicate","strict_joint_recovery","strict_joint_correct_type","strict_joint_misplaced","matched_function_recall_mean","matched_trajectory_abs_cor_mean","matched_score_abs_cor_mean","correctly_placed_function_recall_mean","correctly_placed_trajectory_abs_cor_mean","correctly_placed_score_abs_cor_mean","shared_effective_M","specific_effective_M_study_1","specific_effective_M_study_2","signal_nrmse_all_candidates","signal_nrmse_ppi_selected","signal_nrmse_mean_only","iterations","t1_sweeps","continuation_used","P_A","P_B1","P_B2","min_correct_block_R","max_cross_block_L","dense_signal_nrmse_ppi_selected","dense_signal_relative_mise_ppi_selected","dense_signal_nrmse_all_candidates","feature_components_total","feature_components_matched","feature_total_ise_mean","feature_projection_floor_ise_mean","feature_estimate_to_projection_ise_mean","factor_kernels_total","factor_kernels_matched","kernel_relative_ise_mean","covariance_operator_relative_error_mean","loading_relative_l2_error_mean","loading_support_ppi_auc_mean","exact_correct_1_1_1"
"g12ic_01__G12IC__current_1_over_m__01","g12ic_01","current_1_over_m","none",1,82922101,"g12ic_01__seed_1","max_budget_reached",200,FALSE,TRUE,-145102.555467788,1,2214.92227244377,241496720,FALSE,FALSE,3,4,1,1,1,1,1,0,"1,1,0",1,1,0,9.17859594593297e-07,0.999172472440531,0,0.00151147673159661,0.998984609460086,8.09506529774978e-05,0,1,1,1,0,0,1,1,2,1,0,2,1,1,0.915847068800828,0.973889099489486,0.934823721753431,0.98619883404644,0.994092358473526,0.95515193450495,"2","2","2",0.524203724729398,0.524203724729398,0.694315984311729,299,200,FALSE,9.17859594593297e-07,0.999172472440531,0,0,0.998984609460086,0.536386343799572,0.287710309814672,0.536386343799572,8,4,0.112042505727264,0.0497906266774476,0.039945450626356,4,2,0.159548632685264,0.842799433931032,0.249694903409594,0.970844444444444,FALSE
"g12ic_01__G12IC__current_1_over_m__02","g12ic_01","current_1_over_m","none",2,82922102,"g12ic_01__seed_2","max_budget_reached",200,FALSE,TRUE,-151110.589718324,1,2008.36906051636,220461368,FALSE,FALSE,3,4,1,1,1,0,1,0,"0,1,0",0,1,0,0,5.27567927514632e-05,0,0,0,0.999480305724163,0,0,1,2,0,0,0,1,3,0,0,1,0,1,0.966116018322081,0.984713136325717,0.984356908162463,0,0,0,"2","2","2",0.584189114566095,0.584189114566095,0.690737397758263,299,200,FALSE,0,5.27567927514632e-05,0,0,0.999480305724163,0.601272582014839,0.361528717882792,0.601272582014839,8,2,0.0377779053481735,0.0497906266774476,0.0137478623993867,4,1,0.107105333059507,0.895471873107482,0.136584042852872,0.999955555555556,FALSE
"g12ic_01__G12IC__current_1_over_m__03","g12ic_01","current_1_over_m","none",3,82922103,"g12ic_01__seed_3","max_budget_reached",200,FALSE,TRUE,-134863.794896714,1,2220.36265826225,240538200,FALSE,FALSE,3,4,1,1,1,1,0,1,"1,0,1",1,0,1,0.999817396383099,0,0.998968975344174,1.36074760751698e-08,2.29916553577907e-09,0,2.76843948616411e-09,2,0,1,0,0,3,0,1,0,0,3,3,0,0.928607108174848,0.975586838240648,0.956050049026635,0.928607108174848,0.975586838240648,0.956050049026635,"2","2","2",0.385988573150337,0.385988573150337,0.69613150536132,299,200,FALSE,0.999817396383099,0,0.998968975344174,0,1.36074760751698e-08,0.426466268048472,0.181873477783191,0.426466268048472,8,6,0.0784876640985596,0.0497906266774476,0.0180601125309766,4,3,0.138781108905031,0.590261951718538,0.0859435205899054,0.991511111111111,FALSE
"g12ic_01__G12IC__current_1_over_m__04","g12ic_01","current_1_over_m","none",4,82922104,"g12ic_01__seed_4","max_budget_reached",200,FALSE,TRUE,-135455.806833822,1,2356.93171906471,241562576,FALSE,FALSE,3,4,1,1,1,1,1,1,"1,1,1",1,1,1,1.81771260874303e-09,6.23703019014888e-05,1.66903097192815e-08,0.00149452602168738,0.998969895571301,0.999467443856998,0.999580415575648,0,2,1,0,1,0,3,1,1,0,3,0,3,0.928335664699399,0.976038534887565,0.958064500601734,0,0,0,"2","2","2",0.385614225701486,0.385614225701486,0.695749996747163,299,200,FALSE,1.81771260874303e-09,6.23703019014888e-05,1.66903097192815e-08,1.81771260874303e-09,0.999580415575648,0.425175376267607,0.180774100584301,0.425175376267607,8,6,0.0824125144549177,0.0497906266774476,0.0217869543013515,4,3,0.152363266024885,0.682195237221934,0.209171464668609,0.991555555555556,FALSE
"g12ic_01__G12IC__current_1_over_m__05","g12ic_01","current_1_over_m","none",5,82922105,"g12ic_01__seed_5","max_budget_reached",200,FALSE,TRUE,-133916.641217746,1,2207.91946983337,240105936,FALSE,FALSE,3,4,1,1,1,1,1,0,"1,1,0",1,1,0,0.99981751577012,0.999196533587394,0,1.26742904496812e-09,8.34267566626803e-10,2.17647818425014e-08,0,2,0,1,0,0,3,0,1,0,0,3,3,0,0.835174722421544,0.97995992208062,0.850875014985316,0.835174722421544,0.97995992208062,0.850875014985316,"2","2","2",0.333848751105659,0.333848751105659,0.695565253922577,299,200,FALSE,0.99981751577012,0.999196533587394,0,0,2.17647818425014e-08,0.503055857767445,0.25306519603414,0.503055857767445,8,6,0.325093136285303,0.0497906266774476,0.306423186506241,4,3,0.21536381146844,0.772364256922045,0.198147811985342,0.979977777777778,FALSE
"g12ic_01__G12IC__current_1_over_m__06","g12ic_01","current_1_over_m","none",6,82922106,"g12ic_01__seed_6","max_budget_reached",200,FALSE,TRUE,-141422.686150082,1,2163.75374507904,241458056,FALSE,FALSE,3,4,1,1,1,1,0,0,"1,0,0",1,0,0,0.999816330244768,0,0,5.83851754061949e-08,5.9337863412432e-08,0,0,1,0,2,0,0,2,0,2,0,0,2,2,0,0.974002663796473,0.986645305912659,0.987032076395311,0.974002663796473,0.986645305912659,0.987032076395311,"2","2","2",0.477485471212713,0.477485471212713,0.692456482525662,299,200,FALSE,0.999816330244768,0,0,0,5.9337863412432e-08,0.503014507445781,0.253023594700922,0.503014507445781,8,4,0.0263098065604119,0.0497906266774476,0.00161284193438161,4,2,0.0847315159361178,0.75073637781905,0.0909360763986814,1,FALSE
"g12ic_01__G12IC__current_1_over_m__07","g12ic_01","current_1_over_m","none",7,82922107,"g12ic_01__seed_7","max_budget_reached",200,FALSE,TRUE,-141413.546806838,1,2073.96965622902,241598616,FALSE,FALSE,3,4,1,1,1,1,0,0,"1,0,0",1,0,0,0.999817177677632,0,0,5.3029380790478e-08,5.412443799091e-08,0,0,1,0,2,0,0,2,0,2,0,0,2,2,0,0.974017177398331,0.986647443121762,0.987358169465792,0.974017177398331,0.986647443121762,0.987358169465792,"2","2","2",0.477480586849469,0.477480586849469,0.692512639586804,299,200,FALSE,0.999817177677632,0,0,0,5.412443799091e-08,0.502900187625133,0.252908598713394,0.502900187625133,8,4,0.0262703820125412,0.0497906266774476,0.00156840087223889,4,2,0.0848268079152632,0.750629615311436,0.090157816163275,1,FALSE
"g12ic_01__G12IC__current_1_over_m__08","g12ic_01","current_1_over_m","none",8,82922108,"g12ic_01__seed_8","max_budget_reached",200,FALSE,TRUE,-132572.043803546,1,2220.02388501167,241311016,FALSE,FALSE,3,4,1,1,1,1,1,0,"1,1,0",1,1,0,0.99981911413389,0.99927074491935,0,6.03707004615975e-10,5.82839967333343e-10,9.69966351239898e-09,0,2,0,1,0,0,3,0,1,0,0,3,3,0,0.969944794910195,0.987865877693126,0.97809985063463,0.969944794910195,0.987865877693126,0.97809985063463,"2","2","2",0.327506541008023,0.327506541008023,0.69302047079907,299,200,FALSE,0.99981911413389,0.99927074491935,0,0,9.69966351239898e-09,0.352020478634375,0.123918417377975,0.352020478634375,8,6,0.0374876280414523,0.0497906266774476,0.0172184871821053,4,3,0.076583110192049,0.573599296598386,0.107794771175772,0.982133333333333,FALSE
"g12ic_01__G12IC__current_1_over_m__09","g12ic_01","current_1_over_m","none",9,82922109,"g12ic_01__seed_9","max_budget_reached",200,FALSE,TRUE,-154031.924175093,1,1997.4815363884,220445392,FALSE,FALSE,3,4,1,1,1,0,0,1,"0,0,1",0,0,1,0,0,0.998971367643639,0,0,0,6.42799727694564e-07,1,0,2,0,0,1,0,3,0,0,1,1,0,0.84249868505569,0.953362070925941,0.900832357970682,0.84249868505569,0.953362070925941,0.900832357970682,"2","2","2",0.629642236498235,0.629642236498235,0.69315668565233,299,200,FALSE,0,0,0.998971367643639,0,6.42799727694564e-07,0.648819642480774,0.420966928468879,0.648819642480774,8,2,0.176959743020405,0.0497906266774476,0.0446238008722743,4,1,0.247870312952862,0.893315724873199,0.0812943385189008,0.982488888888889,FALSE
"g12ic_01__G12IC__current_1_over_m__10","g12ic_01","current_1_over_m","none",10,82922110,"g12ic_01__seed_10","max_budget_reached",200,FALSE,TRUE,-151597.022665875,1,2077.55123806,241493960,FALSE,FALSE,3,4,1,1,1,1,0,0,"1,0,0",1,0,0,6.59227051129125e-05,0,0,0.999191004891754,0.00150688541477639,0,0,0,1,2,0,0,0,1,3,1,0,1,0,1,0.986328613451376,0.995137939917707,0.959419642214588,0,0,0,"2","2","2",0.594789850215312,0.594789850215312,0.690397419910437,299,200,FALSE,6.59227051129125e-05,0,0,0,0.999191004891754,0.601097363782674,0.36131804074648,0.601097363782674,8,2,0.0470903283175735,0.0497906266774476,0.0356396608269548,4,1,0.0642857866071428,0.933490088005149,0.197508817160684,0.9608,FALSE
