"experiment_id","fit_id","data_id","data_index","data_seed","scenario_id","method_id","fit_config_id","fit_config_index","selection_stratum_id","route_id","seed_index","fit_seed","fit_L_f","fit_L_s_1","fit_L_s_2","fit_M_f","fit_M_s_1","fit_M_s_2","dimension_change","initialization","function_initialization","pre_score_sweeps","anneal","planned_annealing_sweeps","planned_ordinary_t1_sweeps","total_maxit","n_cpus","objective_eligibility_required","truth_free_winner_candidate","cross_model_elbo_comparison_forbidden","cross_dimension_elbo_comparison_forbidden","actual_racing","continuation","automatic_800","capacity_probe","truth_available_to_fit","truth_available_to_stopping","truth_available_to_selection","development_only","engineering_pilot","formal_v0lv_result","formal_paper_mc_result"
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__truth_L1_M2__01","g12s6a_01",1,83131001,"baseline_strong","G12","truth_L1_M2",1,"g12s6a_01__truth_L1_M2","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__truth_L1_M2",1,89301101,1,1,1,"2","2","2","none","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__truth_L1_M2__02","g12s6a_01",1,83131001,"baseline_strong","G12","truth_L1_M2",1,"g12s6a_01__truth_L1_M2","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__truth_L1_M2",2,89301102,1,1,1,"2","2","2","none","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__truth_L1_M2__03","g12s6a_01",1,83131001,"baseline_strong","G12","truth_L1_M2",1,"g12s6a_01__truth_L1_M2","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__truth_L1_M2",3,89301103,1,1,1,"2","2","2","none","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__truth_L1_M2__04","g12s6a_01",1,83131001,"baseline_strong","G12","truth_L1_M2",1,"g12s6a_01__truth_L1_M2","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__truth_L1_M2",4,89301104,1,1,1,"2","2","2","none","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__truth_L1_M2__05","g12s6a_01",1,83131001,"baseline_strong","G12","truth_L1_M2",1,"g12s6a_01__truth_L1_M2","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__truth_L1_M2",5,89301105,1,1,1,"2","2","2","none","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__truth_L1_M2__06","g12s6a_01",1,83131001,"baseline_strong","G12","truth_L1_M2",1,"g12s6a_01__truth_L1_M2","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__truth_L1_M2",6,89301106,1,1,1,"2","2","2","none","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__truth_L1_M2__07","g12s6a_01",1,83131001,"baseline_strong","G12","truth_L1_M2",1,"g12s6a_01__truth_L1_M2","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__truth_L1_M2",7,89301107,1,1,1,"2","2","2","none","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__truth_L1_M2__08","g12s6a_01",1,83131001,"baseline_strong","G12","truth_L1_M2",1,"g12s6a_01__truth_L1_M2","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__truth_L1_M2",8,89301108,1,1,1,"2","2","2","none","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__truth_L1_M2__09","g12s6a_01",1,83131001,"baseline_strong","G12","truth_L1_M2",1,"g12s6a_01__truth_L1_M2","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__truth_L1_M2",9,89301109,1,1,1,"2","2","2","none","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__truth_L1_M2__10","g12s6a_01",1,83131001,"baseline_strong","G12","truth_L1_M2",1,"g12s6a_01__truth_L1_M2","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__truth_L1_M2",10,89301110,1,1,1,"2","2","2","none","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
