"check_id","passed","detail"
"one_new_data_row",TRUE,"83131001"
"thirty_six_fit_rows",TRUE,"36"
"three_registered_fit_configs",TRUE,"truth_L1_M2;factor_L3_M2;fpca_L1_M4"
"twelve_starts_per_stratum",TRUE,"12;12;12"
"three_truth_free_winners_planned",TRUE,"3"
"unique_fit_ids",TRUE,"fit_id unique"
"unique_fit_seeds",TRUE,"fit_seed unique"
"all_single_core",TRUE,"n_cpus=1"
"fixed_g12_route",TRUE,"G12;pre1;Jaoua99;fixed400"
"no_cross_dimension_elbo_selection",TRUE,"winner selected within data_id and fit_config_id only"
"no_racing_or_continuation",TRUE,"racing=FALSE;continuation=FALSE;automatic_800=FALSE"
"all_truth_flags_false",TRUE,"fit/stopping/selection truth flags FALSE"
"three_capacity_probe_rows",TRUE,"g12s6a_01__truth_L1_M2__01;g12s6a_01__factor_L3_M2__01;g12s6a_01__fpca_L1_M4__01"
"no_formal_result_claim",TRUE,"development pilot only"
