"fit_id","data_id","scenario_id","seed_index","endpoint_role","structure_exact","structure_class","block_role","ppi_at_20","ppi_at_200","ppi_at_400","first_checkpoint_ppi_below_0_5","first_checkpoint_ppi_below_0_1","first_checkpoint_ppi_below_0_01","loading_norm_ratio_at_0","loading_norm_ratio_at_200","loading_norm_ratio_at_400","max_loading_norm_ratio","first_checkpoint_loading_ratio_above_2","first_checkpoint_loading_ratio_above_5","same_role_loading_abs_cosine_at_400","factor_process_grid_rms_at_400","complete_contribution_grid_rms_proxy_at_400"
"g12ss4c_base_01__G12__01","g12ss4c_base_01","baseline_strong",1,"not_selected",FALSE,"correct_counts_wrong_identity","A",1,1,1,,,,1.57936295958576,1.1518468281337,1.11543095417353,1.7657837349443,,,1.77334547086127e-05,1.4994276651529,0.501752409376709
"g12ss4c_base_01__G12__01","g12ss4c_base_01","baseline_strong",1,"not_selected",FALSE,"correct_counts_wrong_identity","B1",1,1,1,,,,1.63766901179008,1.64498041135514,1.35678857323745,2.33739147931312,20,,0.999729198073432,0.665366486748782,0.270828493870768
"g12ss4c_base_01__G12__01","g12ss4c_base_01","baseline_strong",1,"not_selected",FALSE,"correct_counts_wrong_identity","B2",1,1,1,,,,1.59618241878517,1.44721132651,1.14863624919473,2.22709272089165,20,,0.000152527934125335,0.705602543437087,0.243144197674752
"g12ss4c_base_01__G12__02","g12ss4c_base_01","baseline_strong",2,"not_selected",FALSE,"correct_counts_wrong_identity","A",1,1,1,,,,1.60570027591446,1.20511796689679,0.944669658013567,2.1033035519887,20,,2.16198179199749e-05,0.870604910055721,0.246730212794181
"g12ss4c_base_01__G12__02","g12ss4c_base_01","baseline_strong",2,"not_selected",FALSE,"correct_counts_wrong_identity","B1",1,1,1,,,,1.67841357983034,1.53279087115669,1.24820633316567,2.18299261613846,20,,0.999728648873631,0.722292036691413,0.270470848378006
"g12ss4c_base_01__G12__02","g12ss4c_base_01","baseline_strong",2,"not_selected",FALSE,"correct_counts_wrong_identity","B2",1,1,1,,,,1.65335317506144,1.40603843354146,1.14676424207386,2.04303777655123,20,,5.80638100440729e-05,0.707656786996482,0.243454649696533
"g12ss4c_base_01__G12__03","g12ss4c_base_01","baseline_strong",3,"not_selected",TRUE,"exact_1_1_1_identity","A",1,1,1,,,,1.77979803069122,1.66433210700801,1.28772877049694,2.6267768427935,20,,0.999858546477935,0.742141029695991,0.286702906711725
"g12ss4c_base_01__G12__03","g12ss4c_base_01","baseline_strong",3,"not_selected",TRUE,"exact_1_1_1_identity","B1",1,1,1,,,,1.58496738543518,1.65845726054527,1.36136679661293,2.34003344692914,20,,0.99972763004603,0.662424359754022,0.27054075859101
"g12ss4c_base_01__G12__03","g12ss4c_base_01","baseline_strong",3,"not_selected",TRUE,"exact_1_1_1_identity","B2",1,1,1,,,,1.65657915492894,1.45034057594584,1.16897694832451,2.54207616107225,20,,0.999688547279728,0.979005057195842,0.343330303246516
"g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong",4,"not_selected",TRUE,"exact_1_1_1_identity","A",1,1,1,,,,1.67775766691633,2.05435984788705,1.58355357089326,3.14924635757621,20,,0.999857847173485,0.601708759822674,0.285851416576486
"g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong",4,"not_selected",TRUE,"exact_1_1_1_identity","B1",1,1,1,,,,1.68882132286469,1.46850649519723,1.20241761539205,2.07256671406766,20,,0.999728771624751,0.748296975516784,0.269929639471791
"g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong",4,"not_selected",TRUE,"exact_1_1_1_identity","B2",1,1,1,,,,1.65423031921843,1.29728974881687,1.1017067378134,1.95159932447577,,,0.999688599212706,1.18833213415564,0.392758055687831
"g12ss4c_base_01__G12__05","g12ss4c_base_01","baseline_strong",5,"not_selected",FALSE,"correct_counts_wrong_identity","A",1,1,1,,,,1.65203144685273,1.10620332534025,0.913721609872669,1.75601656138118,,,2.00805791488857e-05,0.9705357782466,0.266039854121552
"g12ss4c_base_01__G12__05","g12ss4c_base_01","baseline_strong",5,"not_selected",FALSE,"correct_counts_wrong_identity","B1",1,1,1,,,,1.78977119945225,1.64070525228005,1.35282086725486,2.36279677804898,20,,0.9997285895344,0.667868678164737,0.271052005322154
"g12ss4c_base_01__G12__05","g12ss4c_base_01","baseline_strong",5,"not_selected",FALSE,"correct_counts_wrong_identity","B2",1,1,1,,,,1.69108094461279,1.4675804266229,1.18091435230219,2.23438411540229,20,,9.6103887102043e-05,0.68660892919757,0.243247901672475
"g12ss4c_base_01__G12__06","g12ss4c_base_01","baseline_strong",6,"winner",TRUE,"exact_1_1_1_identity","A",1,1,1,,,,1.72848963737752,1.87046504408947,1.47471325655197,2.7206885749525,20,,0.999858194632302,0.646742662297331,0.286127993300276
"g12ss4c_base_01__G12__06","g12ss4c_base_01","baseline_strong",6,"winner",TRUE,"exact_1_1_1_identity","B1",1,1,1,,,,1.59767685798782,1.47867568314421,1.22229782993959,2.0427256586604,20,,0.999728344457053,0.736490600046925,0.270063258662478
"g12ss4c_base_01__G12__06","g12ss4c_base_01","baseline_strong",6,"winner",TRUE,"exact_1_1_1_identity","B2",1,1,1,,,,1.72915712968222,1.36343789660725,1.17663306004208,2.00015646481548,20,,0.999689532207834,1.11852287667573,0.394827298533008
"g12ss4c_base_01__G12__07","g12ss4c_base_01","baseline_strong",7,"not_selected",TRUE,"exact_1_1_1_identity","A",1,1,1,,,,1.65867729624545,2.06144842844077,1.53798400808182,3.25389511808079,20,,0.999855837493001,0.618882440994991,0.285549389139882
"g12ss4c_base_01__G12__07","g12ss4c_base_01","baseline_strong",7,"not_selected",TRUE,"exact_1_1_1_identity","B1",1,1,1,,,,1.74163468651294,1.64130189158337,1.3485129301869,2.39863983612966,20,,0.999728110983518,0.669466189287753,0.270835143773246
"g12ss4c_base_01__G12__07","g12ss4c_base_01","baseline_strong",7,"not_selected",TRUE,"exact_1_1_1_identity","B2",1,1,1,,,,1.61192139327589,1.3666197598024,1.18474798824097,2.14553745548169,20,,0.999689443891258,1.08700053762539,0.38634651005056
"g12ss4c_base_01__G12__08","g12ss4c_base_01","baseline_strong",8,"not_selected",FALSE,"underselected_or_missing","A",1,1,1,,,,1.57395320729053,2.01118221506394,1.56415717993685,3.00339018393781,20,,0.999826442791298,0.580587759066398,0.272439153578146
"g12ss4c_base_01__G12__08","g12ss4c_base_01","baseline_strong",8,"not_selected",FALSE,"underselected_or_missing","B1",3.97779551519761e-08,3.95864747648744e-08,3.95797766783446e-08,20,20,20,1.66140221841146,0,0,1.66140221841146,,,0,0,0
"g12ss4c_base_01__G12__08","g12ss4c_base_01","baseline_strong",8,"not_selected",FALSE,"underselected_or_missing","B2",1,1,1,,,,1.65089227324912,0.775828946833017,0.62993617602155,1.65089227324912,,,0.00756214529936124,0.893447654712157,0.16884449972544
"g12ss4c_sparse_01__G12__01","g12ss4c_sparse_01","sparse_observation",1,"not_selected",FALSE,"underselected_or_missing","A",1,1,1,,,,1.64035505892243,1.63374901304306,1.3531472420181,2.12779821362063,20,,0.999733987649919,0.856712141708,0.347777301526681
"g12ss4c_sparse_01__G12__01","g12ss4c_sparse_01","sparse_observation",1,"not_selected",FALSE,"underselected_or_missing","B1",5.89989372912214e-08,5.82072052779381e-08,5.82063138798716e-08,20,20,20,1.64028138446142,0,0,1.64028138446142,,,0,0,0
"g12ss4c_sparse_01__G12__01","g12ss4c_sparse_01","sparse_observation",1,"not_selected",FALSE,"underselected_or_missing","B2",1,1,1,,,,1.71337415235248,1.82242093862799,1.43579620318382,2.57792544691898,20,,0.999464168486568,1.27983158678685,0.551273199906987
"g12ss4c_sparse_01__G12__02","g12ss4c_sparse_01","sparse_observation",2,"not_selected",FALSE,"underselected_or_missing","A",1,1,1,,,,1.63614892005507,1.40766981409721,1.023942899121,2.25443018880149,20,,0.000306559791436319,0.935318740087335,0.287313894698169
"g12ss4c_sparse_01__G12__02","g12ss4c_sparse_01","sparse_observation",2,"not_selected",FALSE,"underselected_or_missing","B1",6.74021369828637e-08,6.73348677926455e-08,6.73342097634588e-08,20,20,20,1.7706815811583,0,0,1.7706815811583,,,0,0,0
"g12ss4c_sparse_01__G12__02","g12ss4c_sparse_01","sparse_observation",2,"not_selected",FALSE,"underselected_or_missing","B2",5.96248972417612e-08,5.9193190793394e-08,5.91683920747599e-08,20,20,20,1.65539041874351,0,0,1.65539041874351,,,0,0,0
"g12ss4c_sparse_01__G12__03","g12ss4c_sparse_01","sparse_observation",3,"not_selected",FALSE,"underselected_or_missing","A",1,1,1,,,,1.72484176022324,1.24744354948881,1.01156849578295,1.72540941526039,,,4.35591643333273e-06,1.20553333760265,0.365843863480472
"g12ss4c_sparse_01__G12__03","g12ss4c_sparse_01","sparse_observation",3,"not_selected",FALSE,"underselected_or_missing","B1",6.74028316494102e-08,6.73352773539193e-08,6.73343092394418e-08,20,20,20,1.71093188181403,0,0,1.71093188181403,,,0,0,0
"g12ss4c_sparse_01__G12__03","g12ss4c_sparse_01","sparse_observation",3,"not_selected",FALSE,"underselected_or_missing","B2",1,1,1,,,,1.60370481789564,1.66181403814293,1.4698536060466,2.13260205722145,20,,0.000183311068519959,0.948696877138583,0.418333657772189
"g12ss4c_sparse_01__G12__04","g12ss4c_sparse_01","sparse_observation",4,"not_selected",FALSE,"underselected_or_missing","A",1,1,1,,,,1.54472001837436,2.16500332584141,1.83153801071889,2.76560919012434,20,,0.999726256252869,0.696444262058889,0.382669241492377
"g12ss4c_sparse_01__G12__04","g12ss4c_sparse_01","sparse_observation",4,"not_selected",FALSE,"underselected_or_missing","B1",5.84626266286747e-08,5.83884074423224e-08,5.8387747303712e-08,20,20,20,1.70060088976491,0,0,1.70060088976491,,,0,0,0
