"fit_id","data_id","scenario_id","seed_index","endpoint_role","structure_exact","structure_class","study_role_truth_total","study_role_matched","study_role_correctly_placed","factor_process_nrmse_mean_matched","factor_process_nrmse_mean_missing_as_zero","complete_contribution_nrmse_mean_matched","complete_contribution_nrmse_mean_missing_as_zero","complete_contribution_nrmse_mean_correctly_placed"
"g12ss4c_base_01__G12__01","g12ss4c_base_01","baseline_strong",1,"not_selected",FALSE,"correct_counts_wrong_identity",4,3,1,0.323891472216034,0.492918604162025,0.215290966356812,0.411468224767609,0.175859137488563
"g12ss4c_base_01__G12__02","g12ss4c_base_01","baseline_strong",2,"not_selected",FALSE,"correct_counts_wrong_identity",4,3,1,0.303265171060431,0.477448878295323,0.229721336153073,0.422291002114805,0.171517540556574
"g12ss4c_base_01__G12__03","g12ss4c_base_01","baseline_strong",3,"not_selected",TRUE,"exact_1_1_1_identity",4,4,4,0.249350583037778,0.249350583037778,0.239348829582634,0.239348829582634,0.239348829582634
"g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong",4,"not_selected",TRUE,"exact_1_1_1_identity",4,4,4,0.254410800963817,0.254410800963817,0.234772937518931,0.234772937518931,0.234772937518931
"g12ss4c_base_01__G12__05","g12ss4c_base_01","baseline_strong",5,"not_selected",FALSE,"correct_counts_wrong_identity",4,3,1,0.289378455873706,0.46703384190528,0.230195156635268,0.422646367476451,0.177439113948
"g12ss4c_base_01__G12__06","g12ss4c_base_01","baseline_strong",6,"winner",TRUE,"exact_1_1_1_identity",4,4,4,0.254755452480551,0.254755452480551,0.236896100847499,0.236896100847499,0.236896100847499
"g12ss4c_base_01__G12__07","g12ss4c_base_01","baseline_strong",7,"not_selected",TRUE,"exact_1_1_1_identity",4,4,4,0.255575014276753,0.255575014276753,0.238823351212632,0.238823351212632,0.238823351212632
"g12ss4c_base_01__G12__08","g12ss4c_base_01","baseline_strong",8,"not_selected",FALSE,"underselected_or_missing",4,2,2,0.30150134229535,0.650750671147675,0.296471338017901,0.648235669008951,0.296471338017901
"g12ss4c_sparse_01__G12__01","g12ss4c_sparse_01","sparse_observation",1,"not_selected",FALSE,"underselected_or_missing",4,3,3,0.393992202684561,0.545494152013421,0.327330251284597,0.495497688463448,0.327330251284597
"g12ss4c_sparse_01__G12__02","g12ss4c_sparse_01","sparse_observation",2,"not_selected",FALSE,"underselected_or_missing",4,1,0,0.248186213568535,0.812046553392134,0.250368886828526,0.812592221707131,
"g12ss4c_sparse_01__G12__03","g12ss4c_sparse_01","sparse_observation",3,"not_selected",FALSE,"underselected_or_missing",4,2,0,0.38779178782334,0.69389589391167,0.314726396735821,0.65736319836791,
"g12ss4c_sparse_01__G12__04","g12ss4c_sparse_01","sparse_observation",4,"not_selected",FALSE,"underselected_or_missing",4,2,2,0.29603565708582,0.64801782854291,0.228276269708983,0.614138134854492,0.228276269708983
"g12ss4c_sparse_01__G12__05","g12ss4c_sparse_01","sparse_observation",5,"not_selected",FALSE,"underselected_or_missing",4,2,0,0.430304345285577,0.715152172642788,0.301034826501732,0.650517413250866,
"g12ss4c_sparse_01__G12__06","g12ss4c_sparse_01","sparse_observation",6,"winner",FALSE,"underselected_or_missing",4,3,3,0.387320758694082,0.540490569020561,0.340600923090208,0.505450692317656,0.340600923090208
"g12ss4c_sparse_01__G12__07","g12ss4c_sparse_01","sparse_observation",7,"not_selected",FALSE,"underselected_or_missing",4,2,0,0.3397990701034,0.6698995350517,0.187698172681189,0.593849086340595,
"g12ss4c_sparse_01__G12__08","g12ss4c_sparse_01","sparse_observation",8,"not_selected",FALSE,"underselected_or_missing",4,3,3,0.459337436154313,0.594503077115735,0.320856022418406,0.490642016813805,0.320856022418406
"g12ss4c_sparse_02__G12__01","g12ss4c_sparse_02","sparse_observation",1,"not_selected",FALSE,"underselected_or_missing",4,2,2,0.818944182249461,0.90947209112473,0.438403320853743,0.719201660426871,0.438403320853743
"g12ss4c_sparse_02__G12__02","g12ss4c_sparse_02","sparse_observation",2,"not_selected",FALSE,"underselected_or_missing",4,3,3,0.727814687408073,0.795861015556055,0.309658925081036,0.482244193810777,0.309658925081036
"g12ss4c_sparse_02__G12__03","g12ss4c_sparse_02","sparse_observation",3,"not_selected",FALSE,"underselected_or_missing",4,3,3,0.654578931799393,0.740934198849545,0.321135988340465,0.490851991255349,0.321135988340465
"g12ss4c_sparse_02__G12__04","g12ss4c_sparse_02","sparse_observation",4,"not_selected",FALSE,"underselected_or_missing",4,2,0,0.649152961966362,0.824576480983181,0.367998750936576,0.683999375468288,
"g12ss4c_sparse_02__G12__05","g12ss4c_sparse_02","sparse_observation",5,"not_selected",FALSE,"underselected_or_missing",4,2,1,0.479339899671479,0.73966994983574,0.337897931213726,0.668948965606863,0.415616254014504
"g12ss4c_sparse_02__G12__06","g12ss4c_sparse_02","sparse_observation",6,"not_selected",FALSE,"correct_counts_wrong_identity",4,3,3,0.520099601203561,0.640074700902671,0.412485672284202,0.559364254213151,0.412485672284202
"g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation",7,"winner",TRUE,"exact_1_1_1_identity",4,4,4,0.687910436368643,0.687910436368643,0.310523061362015,0.310523061362015,0.310523061362015
"g12ss4c_sparse_02__G12__08","g12ss4c_sparse_02","sparse_observation",8,"not_selected",FALSE,"correct_counts_wrong_identity",4,3,1,0.450405848546418,0.587804386409813,0.283944412408248,0.462958309306186,0.186459750537836
