"check_id","passed","detail"
"two_new_data_rows",TRUE,"82929001;82929002"
"twenty_six_fit_rows",TRUE,"26"
"method_counts",TRUE,"G12 24;pooled_bayesSYNC 2"
"unique_ids_and_seeds",TRUE,"fit_id and fit_seed are unique"
"g12_twelve_per_data",TRUE,"12 G12 starts for each data set"
"pooled_once_per_data",TRUE,"both studies pooled once for each data set"
"all_single_core",TRUE,"per-fit n_cpus=1"
"all_truth_flags_false",TRUE,"truth unavailable to fit/stopping/selection"
"no_racing_or_continuation",TRUE,"racing=FALSE;continuation=FALSE;automatic_800=FALSE"
"no_formal_result_claim",TRUE,"engineering pilot only"
