"check_id","passed","detail"
"six_new_data",TRUE,"6"
"three_scenarios_two_replicates",TRUE,"2 per baseline/weak/sparse"
"twelve_fixed_400_fits",TRUE,"12"
"two_fit_seeds_per_data",TRUE,"2"
"unique_ids_and_seeds",TRUE,"unique"
"per_fit_single_cpu",TRUE,"1"
"G12_route_fixed",TRUE,"random + G12 + one pre-score + Jaoua anneal"
"public_fixed_400_profile",TRUE,"public min396/max400 quantile-factor five consecutive"
"checkpoint_capture_preregistered",TRUE,"20-sweep checkpoints through fixed endpoint 400"
"truth_isolated",TRUE,"fit/stopping/analysis flags FALSE"
"no_racing_continuation_or_800",TRUE,"FALSE/FALSE/FALSE"
"not_formal_v0lv",TRUE,"post-v0L-V development only"
