"continuation_id","source_fit_id","data_id","scenario_id","selection_role","metric","source_400","continuation_800","delta_800_minus_400","relative_change"
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","final_elbo",-123663.752386572,-123603.60615658,60.146229992155,0.000486369116506657
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","signal_nrmse_ppi_selected",0.186251445333535,0.186186610143978,-6.48351895561616e-05,-0.000348105698938638
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","dense_signal_nrmse_ppi_selected",0.321415456772323,0.329532776743967,0.00811731997164405,0.0252549147858624
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","loading_relative_l2_error_mean",0.146971974555283,0.156693190344313,0.00972121578903049,0.0661433298317284
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","feature_components_matched",8,8,0,0
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","feature_components_total",8,8,0,0
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","matched_function_recall_mean",0.869604401342774,0.867207723709304,-0.00239667763346962,-0.002756055086392
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","matched_trajectory_abs_cor_mean",0.971767145509686,0.969834491020511,-0.00193265448917557,-0.0019888041061132
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","matched_score_abs_cor_mean",0.955732158642691,0.956032945040475,0.000300786397784192,0.000314718297447856
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","feature_total_ise_mean",0.171158664263766,0.175042799195347,0.00388413493158102,0.0226931832419265
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","feature_estimate_to_projection_ise_mean",0.102312697322286,0.107120720951995,0.00480802362970857,0.046993420714569
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","kernel_relative_ise_mean",0.163607801398035,0.165871451918291,0.0022636505202559,0.0138358348496399
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","covariance_operator_relative_error_mean",0.519227929609899,0.537647095939616,0.0184191663297172,0.0354741439728708
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","P_A",0.999715714554396,0.999717492526969,1.77797257316925e-06,1.77847816862792e-06
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","P_B1",0.999457616814334,0.999464315456537,6.69864220315119e-06,6.70227740572172e-06
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","P_B2",0.999377295395863,0.999376413507882,-8.81887981085683e-07,-8.82437478966698e-07
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","canonical_factor_scale_A",0.593207785872574,0.823509200772095,0.230301414899521,0.388230600447634
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","canonical_factor_scale_B1",0.748969415102308,0.926235233647114,0.177265818544806,0.236679649356032
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong","exact_baseline_marginal_short_rss_control","canonical_factor_scale_B2",1.15714498237735,1.41776174991744,0.260616767540089,0.225223953358596
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","final_elbo",-93033.0619912408,-93004.1390433912,28.9229478495836,0.000310888916590821
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","signal_nrmse_ppi_selected",0.211162755225242,0.211231316784781,6.85615595391598e-05,0.000324685854122461
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","dense_signal_nrmse_ppi_selected",3.57974302800053,3.66140752228765,0.0816644942871259,0.0228129487642971
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","loading_relative_l2_error_mean",2.9195544144933,3.00681145751288,0.0872570430195827,0.0298871096857863
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","feature_components_matched",8,8,0,0
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","feature_components_total",8,8,0,0
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","matched_function_recall_mean",0.50377001562884,0.503169640152262,-0.000600375476577986,-0.00119176500774576
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","matched_trajectory_abs_cor_mean",0.954336279798832,0.953062982382338,-0.00127329741649418,-0.0013342230023599
