"fit_config_id","fit_id","seed_index","study","pair_count","maximum_cross_role_abs_cosine","pairs_ge_0_8","pairs_ge_0_9","pairs_ge_0_95"
"factor_L3_M2","g12s6a_01__factor_L3_M2__01",1,1,9,0.996130169533199,2,2,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__01",1,2,9,0.996785919370523,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__02",2,1,9,9.4611357937515e-05,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__02",2,2,9,0.994406817700682,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__03",3,1,9,0.000106096205582768,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__03",3,2,9,0.994769600077584,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__04",4,1,9,0.0389996117487662,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__04",4,2,9,0.897021075360207,1,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__05",5,1,9,0.717370829925538,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__05",5,2,9,0.00057939526385336,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__06",6,1,9,0.00154070868481343,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__06",6,2,9,2.26306492494575e-05,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__07",7,1,9,0.996400067912053,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07",7,2,9,0.0376920427263696,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__08",8,1,9,0.986909738608219,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__08",8,2,9,0.997375633829599,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__09",9,1,9,0.0271220083757109,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__09",9,2,9,0.99406449033333,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__10",10,1,9,0.995232605720023,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__10",10,2,9,0.997638285445676,2,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__11",11,1,9,0.948903734731083,2,2,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__11",11,2,9,0.00029744867410662,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__12",12,1,9,0.991546617283767,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__12",12,2,9,0.00112618759024375,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__01",1,1,1,3.5464972899138e-05,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__01",1,2,1,9.43255709653645e-06,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__02",2,1,1,6.58336407960335e-05,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__02",2,2,1,4.78265966146326e-05,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__03",3,1,1,2.81583597458732e-05,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__03",3,2,1,8.04194958398417e-06,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__04",4,1,1,0.00868278730615783,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__04",4,2,1,1.12354845295264e-05,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__05",5,1,1,2.26804339494796e-05,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__05",5,2,1,7.53466031185734e-06,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__06",6,1,1,8.32655523805042e-05,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__06",6,2,1,3.20998176503593e-07,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__07",7,1,1,9.85511975811995e-05,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__07",7,2,1,2.58199171214786e-05,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__08",8,1,1,2.04041669229072e-05,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__08",8,2,1,1.28805474044407e-05,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__09",9,1,1,4.37518146123211e-05,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__09",9,2,1,5.22240047850538e-06,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__10",10,1,1,0.00903417363977141,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__10",10,2,1,1.0536508675058e-05,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11",11,1,1,2.47184727378094e-05,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11",11,2,1,5.65218563920938e-06,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__12",12,1,1,4.98357586700994e-05,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__12",12,2,1,3.80074274739756e-05,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__01",1,1,1,8.98126816095598e-05,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__01",1,2,1,3.01033796502384e-05,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__02",2,1,1,2.47531495075404e-05,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__02",2,2,1,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__03",3,1,1,4.46901320077385e-05,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__03",3,2,1,0.000117357303415922,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__04",4,1,1,0.00976496277000976,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__04",4,2,1,2.40436174524774e-05,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__05",5,1,1,0.000337817247849642,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__05",5,2,1,1.93813029423876e-05,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__06",6,1,1,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__06",6,2,1,0.000202312255322585,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__07",7,1,1,3.03648451863269e-05,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__07",7,2,1,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__08",8,1,1,0.000116113537662021,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__08",8,2,1,0.000169689186383014,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__09",9,1,1,5.46011508564562e-05,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__09",9,2,1,4.00037573119993e-05,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__10",10,1,1,2.78273503494189e-05,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__10",10,2,1,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__11",11,1,1,4.3485660880177e-05,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__11",11,2,1,0.000122220374283062,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__12",12,1,1,0.000112286251841627,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__12",12,2,1,0.997630148252898,1,1,1
