"fit_id","fit_config_id","seed_index","final_elbo","practical_converged","candidate_count","ppi_retained_count","contribution_share_max","contribution_share_min","effective_M_mean","effective_M_at_cap"
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,-121740.221703815,FALSE,9,6,0.338855615943917,0,2,9
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,-122536.676834129,FALSE,9,4,0.654260333974491,0,2,9
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,-122580.800309195,TRUE,9,4,0.674133804256845,0,2,9
"g12s6a_01__factor_L3_M2__04","factor_L3_M2",4,-121314.871705754,FALSE,9,7,0.72002388422696,0,2,9
"g12s6a_01__factor_L3_M2__05","factor_L3_M2",5,-121359.395510917,FALSE,9,6,0.284237600008832,0,2,9
"g12s6a_01__factor_L3_M2__06","factor_L3_M2",6,-121417.826293135,FALSE,9,6,0.62673472598729,0,2,9
"g12s6a_01__factor_L3_M2__07","factor_L3_M2",7,-121231.868601702,FALSE,9,6,0.685444397965327,0,2,9
"g12s6a_01__factor_L3_M2__08","factor_L3_M2",8,-121446.477826322,TRUE,9,6,0.342556987770915,0,2,9
"g12s6a_01__factor_L3_M2__09","factor_L3_M2",9,-121245.972119726,FALSE,9,5,0.689746461963257,0,2,9
"g12s6a_01__factor_L3_M2__10","factor_L3_M2",10,-121848.443426217,FALSE,9,7,0.313227956780766,0,2,9
"g12s6a_01__factor_L3_M2__11","factor_L3_M2",11,-121264.878006121,FALSE,9,6,0.326887373590959,0,2,9
"g12s6a_01__factor_L3_M2__12","factor_L3_M2",12,-121588.596138461,TRUE,9,6,0.305735364814437,0,2,9
"g12s6a_01__fpca_L1_M4__01","fpca_L1_M4",1,-120545.844841676,FALSE,3,3,0.661171214615021,0.158553591366144,4,3
"g12s6a_01__fpca_L1_M4__02","fpca_L1_M4",2,-129592.781037321,TRUE,3,3,0.466076886088569,0.263166504565063,3.66666666666667,2
"g12s6a_01__fpca_L1_M4__03","fpca_L1_M4",3,-120458.556449812,FALSE,3,3,0.653990065882955,0.161871205490808,4,3
"g12s6a_01__fpca_L1_M4__04","fpca_L1_M4",4,-129560.739163198,TRUE,3,3,0.640544465329254,0.162069973564848,3.66666666666667,2
"g12s6a_01__fpca_L1_M4__05","fpca_L1_M4",5,-120410.321380544,TRUE,3,3,0.679782136460571,0.140904729864503,3.66666666666667,2
"g12s6a_01__fpca_L1_M4__06","fpca_L1_M4",6,-120829.24746105,FALSE,3,3,0.495025443346489,0.232934406160878,4,3
"g12s6a_01__fpca_L1_M4__07","fpca_L1_M4",7,-120430.221231531,TRUE,3,3,0.692728092323609,0.14255540802133,4,3
"g12s6a_01__fpca_L1_M4__08","fpca_L1_M4",8,-120446.101535161,FALSE,3,3,0.648595494872775,0.163286796540111,3.66666666666667,2
"g12s6a_01__fpca_L1_M4__09","fpca_L1_M4",9,-120539.219049552,FALSE,3,3,0.500246760484566,0.192019797384932,3.33333333333333,1
"g12s6a_01__fpca_L1_M4__10","fpca_L1_M4",10,-129532.298793229,TRUE,3,3,0.623045691601408,0.176159911831146,3.66666666666667,2
"g12s6a_01__fpca_L1_M4__11","fpca_L1_M4",11,-120409.930568155,TRUE,3,3,0.684457102874047,0.143667027682265,4,3
"g12s6a_01__fpca_L1_M4__12","fpca_L1_M4",12,-129260.864839634,FALSE,3,3,0.39334913796429,0.290029665895926,4,3
"g12s6a_01__truth_L1_M2__01","truth_L1_M2",1,-123435.846318125,TRUE,3,3,0.612398970897807,0.193182032718588,2,3
"g12s6a_01__truth_L1_M2__02","truth_L1_M2",2,-129888.861774087,TRUE,3,2,0.515806792615161,0,2,3
"g12s6a_01__truth_L1_M2__03","truth_L1_M2",3,-121854.617291575,TRUE,3,3,0.343865207254004,0.325707743450327,2,3
"g12s6a_01__truth_L1_M2__04","truth_L1_M2",4,-131145.818553626,TRUE,3,3,0.57111226314132,0.157557084281095,2,3
"g12s6a_01__truth_L1_M2__05","truth_L1_M2",5,-125762.346629785,TRUE,3,3,0.49755482422357,0.119966056492074,2,3
"g12s6a_01__truth_L1_M2__06","truth_L1_M2",6,-130050.161960228,TRUE,3,2,0.509231458607689,0,2,3
"g12s6a_01__truth_L1_M2__07","truth_L1_M2",7,-129913.505289058,TRUE,3,2,0.515091459635397,0,2,3
"g12s6a_01__truth_L1_M2__08","truth_L1_M2",8,-131428.662434278,TRUE,3,3,0.479084348495818,0.252452895495195,2,3
"g12s6a_01__truth_L1_M2__09","truth_L1_M2",9,-130515.913172647,TRUE,3,3,0.482665593696124,0.253605196112753,2,3
"g12s6a_01__truth_L1_M2__10","truth_L1_M2",10,-129889.940008038,TRUE,3,2,0.515656234502643,0,2,3
"g12s6a_01__truth_L1_M2__11","truth_L1_M2",11,-121923.013316297,TRUE,3,3,0.344553308934896,0.324816511695691,2,3
"g12s6a_01__truth_L1_M2__12","truth_L1_M2",12,-130599.998060207,TRUE,3,3,0.777075073589735,0.0232536303673486,2,3
