"fit_id","fit_config_id","seed_index","final_elbo","practical_converged","role_id","block","study","candidate_id","candidate_factor","factor_ppi","ppi_retained_0_5","expected_active_loading_count","loading_l2","zero_loading_direction","loading_rms","factor_process_rms","complete_contribution_rms","subject_weight","weighted_contribution_energy","rank_cap","effective_M_99pct","weighted_contribution_share"
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,-121740.221703815,FALSE,"A","shared",0,"A_1",1,1,TRUE,45.9406579666351,2.4679186181968,FALSE,0.110368675864508,1.03281725843983,0.113990673224015,1,0.0129938735820643,2,2,0.0725617190759184
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,-121740.221703815,FALSE,"A","shared",0,"A_2",2,1,TRUE,18.6770075078678,0.71521967478278,FALSE,0.0319855962331918,0.998938000563331,0.0319516275480106,1,0.00102090650296679,2,2,0.00570105060690346
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,-121740.221703815,FALSE,"A","shared",0,"A_3",3,2.49095524207377e-08,FALSE,2.49095520990326e-08,0,TRUE,0,0,0,1,0,2,2,0
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,-121740.221703815,FALSE,"B1","specific",1,"B1_1",1,1,TRUE,49.0615158558158,7.79373781325557,FALSE,0.348546550985,0.991915720983598,0.345728803416633,0.5,0.0597642027559484,2,2,0.333741379257318
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,-121740.221703815,FALSE,"B1","specific",1,"B1_2",2,1,TRUE,50.8921797293023,4.63372492380624,FALSE,0.207226478373316,0.996934257001395,0.206591175248117,0.5,0.0213399568451991,2,2,0.119168771645658
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,-121740.221703815,FALSE,"B1","specific",1,"B1_3",3,3.52334595943304e-08,FALSE,3.5233459943716e-08,0,TRUE,0,0,0,0.5,0,2,2,0
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,-121740.221703815,FALSE,"B2","specific",2,"B2_1",1,1,TRUE,48.835991801689,7.25966892771799,FALSE,0.324662264330409,1.07301567274511,0.348367697975443,0.5,0.0606800264963547,2,2,0.338855615943917
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,-121740.221703815,FALSE,"B2","specific",2,"B2_2",2,1,TRUE,48.8257558536033,4.83119385683597,FALSE,0.216057557527292,0.998585089853134,0.21575185549684,0.5,0.0232744315751646,2,2,0.129971463470286
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,-121740.221703815,FALSE,"B2","specific",2,"B2_3",3,3.54054723317176e-08,FALSE,3.54054725884221e-08,0,TRUE,0,0,0,0.5,0,2,2,0
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,-122536.676834129,FALSE,"A","shared",0,"A_1",1,1,TRUE,50.2514337555248,9.88822027384137,FALSE,0.442214654176018,1.11618277398736,0.49359237939605,1,0.243633436997854,2,2,0.654260333974491
