"fit_id","fit_config_id","seed_index","role_id","candidate_id","component","normalized_eigenvalue","cumulative_pve","retained_after_99pct"
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"A","A_1",1,0.69801656113601,69.801656113601,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"A","A_1",2,0.30198343886399,100,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"A","A_2",1,0.90066653524883,90.066653524883,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"A","A_2",2,0.0993334647511702,100,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"A","A_3",1,0.950638370288169,95.0638370288169,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"A","A_3",2,0.0493616297118311,100,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"B1","B1_1",1,0.828914182821681,82.891418282168,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"B1","B1_1",2,0.171085817178319,100,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"B1","B1_2",1,0.713204491909765,71.3204491909765,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"B1","B1_2",2,0.286795508090235,100,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"B1","B1_3",1,0.950638370075322,95.0638370075322,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"B1","B1_3",2,0.0493616299246782,100,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"B2","B2_1",1,0.632117373583091,63.2117373583091,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"B2","B2_1",2,0.367882626416909,100,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"B2","B2_2",1,0.670460691730574,67.0460691730574,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"B2","B2_2",2,0.329539308269426,100,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"B2","B2_3",1,0.950649661294852,95.0649661294852,TRUE
"g12s6a_01__factor_L3_M2__01","factor_L3_M2",1,"B2","B2_3",2,0.0493503387051479,100,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"A","A_1",1,0.790366794369631,79.0366794369631,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"A","A_1",2,0.209633205630369,100,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"A","A_2",1,0.950638370284429,95.0638370284429,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"A","A_2",2,0.0493616297155713,100,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"A","A_3",1,0.950638370284417,95.0638370284417,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"A","A_3",2,0.0493616297155834,100,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"B1","B1_1",1,0.841224288012529,84.1224288012529,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"B1","B1_1",2,0.158775711987471,100,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"B1","B1_2",1,0.950638370055422,95.0638370055422,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"B1","B1_2",2,0.0493616299445776,100,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"B1","B1_3",1,0.950638370055422,95.0638370055422,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"B1","B1_3",2,0.0493616299445782,100,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"B2","B2_1",1,0.62574930548296,62.574930548296,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"B2","B2_1",2,0.37425069451704,100,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"B2","B2_2",1,0.663564728101689,66.3564728101689,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"B2","B2_2",2,0.336435271898311,100,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"B2","B2_3",1,0.950638370066746,95.0638370066746,TRUE
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,"B2","B2_3",2,0.0493616299332545,100,TRUE
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,"A","A_1",1,0.801034779647902,80.1034779647902,TRUE
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,"A","A_1",2,0.198965220352098,100,TRUE
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,"A","A_2",1,0.950638370284459,95.0638370284459,TRUE
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,"A","A_2",2,0.0493616297155414,100,TRUE
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,"A","A_3",1,0.950638370428691,95.0638370428691,TRUE
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,"A","A_3",2,0.0493616295713087,100,TRUE
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,"B1","B1_1",1,0.839186941414686,83.9186941414686,TRUE
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,"B1","B1_1",2,0.160813058585314,100,TRUE
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,"B1","B1_2",1,0.950638370055447,95.0638370055447,TRUE
