"fit_config_id","reference_fit_id","reference_candidate_id","role_id","candidate_fit_id","candidate_seed_index","candidate_id","mean_squared_canonical_correlation","minimum_canonical_correlation","reference_rank","candidate_rank"
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_1","A","g12s6a_01__factor_L3_M2__01",1,"A_1",0.54522107346331,0.509922162664321,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_2","A","g12s6a_01__factor_L3_M2__01",1,"A_3",0.498408007301163,0.309778844403503,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_3","A","g12s6a_01__factor_L3_M2__01",1,"A_2",0.307023432019361,0.388519541501578,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_1","A","g12s6a_01__factor_L3_M2__02",2,"A_1",0.942521109786238,0.965657453053306,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_2","A","g12s6a_01__factor_L3_M2__02",2,"A_3",0.498408007301198,0.309778844403597,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_3","A","g12s6a_01__factor_L3_M2__02",2,"A_2",0.476827042826212,0.235189397679124,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_1","A","g12s6a_01__factor_L3_M2__03",3,"A_1",0.942248764408568,0.966922888574843,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_2","A","g12s6a_01__factor_L3_M2__03",3,"A_3",0.498408002620647,0.309778832478331,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_3","A","g12s6a_01__factor_L3_M2__03",3,"A_2",0.476827042826211,0.235189397679121,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_1","A","g12s6a_01__factor_L3_M2__04",4,"A_1",0.955842496916674,0.954943203059259,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_2","A","g12s6a_01__factor_L3_M2__04",4,"A_3",0.619506767371585,0.501392291832793,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_3","A","g12s6a_01__factor_L3_M2__04",4,"A_2",0.201896604705703,0.331278136664884,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_1","A","g12s6a_01__factor_L3_M2__05",5,"A_2",0.516764127034221,0.294194544154998,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_2","A","g12s6a_01__factor_L3_M2__05",5,"A_1",0.647194236226626,0.595641177823163,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_3","A","g12s6a_01__factor_L3_M2__05",5,"A_3",0.476827042826418,0.235189397679633,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_1","A","g12s6a_01__factor_L3_M2__06",6,"A_1",0.902210051978802,0.908978540949901,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_2","A","g12s6a_01__factor_L3_M2__06",6,"A_2",0.440515072935082,0.0332135385932248,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_3","A","g12s6a_01__factor_L3_M2__06",6,"A_3",0.476827042826419,0.235189397679636,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_1","A","g12s6a_01__factor_L3_M2__07",7,"A_1",1,1,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_2","A","g12s6a_01__factor_L3_M2__07",7,"A_2",1,1,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_3","A","g12s6a_01__factor_L3_M2__07",7,"A_3",1,1,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_1","A","g12s6a_01__factor_L3_M2__08",8,"A_1",0.554764069021805,0.403326069868061,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_2","A","g12s6a_01__factor_L3_M2__08",8,"A_3",0.498408007301198,0.309778844403596,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_3","A","g12s6a_01__factor_L3_M2__08",8,"A_2",0.156945824319951,0.319784784837179,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_1","A","g12s6a_01__factor_L3_M2__09",9,"A_1",0.938014370540269,0.938499082955392,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_2","A","g12s6a_01__factor_L3_M2__09",9,"A_2",0.637300468701958,0.573260613151144,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_3","A","g12s6a_01__factor_L3_M2__09",9,"A_3",0.289731237185304,0.0543324555384563,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_1","A","g12s6a_01__factor_L3_M2__10",10,"A_1",0.491362252279106,0.266806097567351,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_2","A","g12s6a_01__factor_L3_M2__10",10,"A_3",0.498408007301197,0.309778844403594,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_3","A","g12s6a_01__factor_L3_M2__10",10,"A_2",0.340631307861762,0.359572446060731,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_1","A","g12s6a_01__factor_L3_M2__11",11,"A_1",0.438394864665951,0.0588030096150542,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_2","A","g12s6a_01__factor_L3_M2__11",11,"A_2",0.445306278430337,0.200672660962724,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_3","A","g12s6a_01__factor_L3_M2__11",11,"A_3",0.476827042826418,0.235189397679635,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_1","A","g12s6a_01__factor_L3_M2__12",12,"A_1",0.552134934833268,0.395256633642015,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_2","A","g12s6a_01__factor_L3_M2__12",12,"A_3",0.498408007301157,0.309778844403484,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_3","A","g12s6a_01__factor_L3_M2__12",12,"A_2",0.476827042826418,0.23518939767963,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__01",1,"B1_1",0.507112040213126,0.158350451982209,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__01",1,"B1_3",1,1,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__01",1,"B1_2",0.386195858319812,0.310447059414993,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__02",2,"B1_1",0.526690731021626,0.249006947004552,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__02",2,"B1_3",1,1,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__02",2,"B1_2",1,1,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__03",3,"B1_1",0.52689443330493,0.249895722156128,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__03",3,"B1_3",1,1,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__03",3,"B1_2",1,1,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__04",4,"B1_1",0.51416588342151,0.194985515985168,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__04",4,"B1_3",0.639372510920675,0.527963543796516,2,2
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__04",4,"B1_2",0.466478489866671,0.119189757012125,2,2
