"fit_config_id","reference_fit_id","role_id","reference_candidate_id","starts","loading_abs_cosine_median","loading_abs_cosine_minimum","contribution_share_median","contribution_share_minimum","factor_ppi_median","recurrence_ge_0_8","recurrence_ge_0_9","recurrence_ge_0_95"
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A","A_1",12,0.999708138359595,0.997912515959333,0.484645856879103,0.0725617190759184,1,1,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A","A_1",12,0.999997998064325,1.59924737233762e-05,0.57442112767867,0.162069973564848,1,0.666666666666667,0.666666666666667,0.666666666666667
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","A","A_1",12,0.999990367586618,1.58975933017015e-06,0.495948526151906,0.271330652577585,1,0.75,0.75,0.75
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A","A_2",12,0.499408560023826,0,0.0181780179717799,0,0.500000012541647,0.5,0.5,0.5
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A","A_3",12,0.0136791937007094,0,0.00285052530345173,0,0.500000012541647,0.166666666666667,0.166666666666667,0.0833333333333333
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1","B1_1",12,0.999948319614497,0.999929103442387,0.184331095209297,0.119123746285925,1,1,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1","B1_1",12,0.999999692359565,4.36396000506443e-05,0.192751634846506,0.14255540802133,1,0.666666666666667,0.666666666666667,0.666666666666667
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B1","B1_1",12,0.999999677456844,0,0.296639633852339,0,1,0.666666666666667,0.666666666666667,0.666666666666667
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1","B1_2",12,0,0,0,0,3.52651109980506e-08,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1","B1_3",12,0,0,0.011375743774479,0,1,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2","B2_1",12,0.999969875701065,0.897913456706089,0.109696448925158,0.00399228003107933,1,1,0.916666666666667,0.916666666666667
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2","B2_1",12,0.999999438865491,2.13913386770747e-05,0.178368148519996,0.140904729864503,1,0.666666666666667,0.666666666666667,0.666666666666667
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B2","B2_1",12,0.00243426354142124,0,0.2234359459394,0,1,0.416666666666667,0.416666666666667,0.416666666666667
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2","B2_2",12,0.0267263185848723,0,0.024760731808894,0,1,0.25,0.166666666666667,0.0833333333333333
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2","B2_3",12,0,0,0,0,3.52403682346569e-08,0,0,0
