"fit_config_id","fit_id","seed_index","role_id","candidate_count","pair_count","maximum_within_role_abs_cosine","pairs_ge_0_8","pairs_ge_0_9","pairs_ge_0_95"
"factor_L3_M2","g12s6a_01__factor_L3_M2__01",1,"A",3,3,0.000117247696595545,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__02",2,"A",3,3,0,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__03",3,"A",3,3,0,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__04",4,"A",3,3,0.997713387592572,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__05",5,"A",3,3,0.99905306281144,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__06",6,"A",3,3,0.999278545541381,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07",7,"A",3,3,0.998150154540834,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__08",8,"A",3,3,0.00125009328900448,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__09",9,"A",3,3,0.998218654727851,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__10",10,"A",3,3,4.86133922277671e-05,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__11",11,"A",3,3,0.999225178173957,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__12",12,"A",3,3,0,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__01",1,"B1",3,3,7.35746025942489e-05,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__02",2,"B1",3,3,0,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__03",3,"B1",3,3,0,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__04",4,"B1",3,3,0.955410164194892,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__05",5,"B1",3,3,0.0307524127294062,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__06",6,"B1",3,3,0.984688134079838,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07",7,"B1",3,3,0,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__08",8,"B1",3,3,0.00138698149535984,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__09",9,"B1",3,3,0,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__10",10,"B1",3,3,0.000244762883398211,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__11",11,"B1",3,3,0.00809033337545812,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__12",12,"B1",3,3,0.658947535818395,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__01",1,"B2",3,3,2.0372194419627e-05,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__02",2,"B2",3,3,0.00382855159102984,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__03",3,"B2",3,3,0.00398179328897825,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__04",4,"B2",3,3,0,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__05",5,"B2",3,3,0.996633715583858,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__06",6,"B2",3,3,0.987170211400742,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07",7,"B2",3,3,0.0128151782894826,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__08",8,"B2",3,3,0.049747942532145,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__09",9,"B2",3,3,0,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__10",10,"B2",3,3,0.0397051779083758,0,0,0
"factor_L3_M2","g12s6a_01__factor_L3_M2__11",11,"B2",3,3,0.996276014868233,1,1,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__12",12,"B2",3,3,0.996768355054699,1,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__01",1,"A",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__02",2,"A",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__03",3,"A",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__04",4,"A",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__05",5,"A",1,0,0,0,0,0
