"fit_config_id","role_id","reference_candidate_id","starts","median_mean_squared_canonical_correlation","minimum_mean_squared_canonical_correlation","median_minimum_canonical_correlation","minimum_canonical_correlation"
"factor_L3_M2","A","A_1",12,0.728487060500304,0.438394864665951,0.709450351807111,0.0588030096150542
"fpca_L1_M4","A","A_1",12,0.906374984216717,0.350692811894598,0.763598486317084,0
"truth_L1_M2","A","A_1",12,0.809176056768782,0.0830905823433157,0.851762833379054,0.0335782976265605
"factor_L3_M2","A","A_2",12,0.498408007301197,0.440515072935082,0.309778844403595,0.0332135385932248
"factor_L3_M2","A","A_3",12,0.476827042826212,0.156945824319951,0.235189397679636,0.0543324555384563
"factor_L3_M2","B1","B1_1",12,0.526739255916984,0.507112040213126,0.249321425314271,0.158350451982209
"fpca_L1_M4","B1","B1_1",12,0.752175393446688,0.514441879312734,0.286966814150126,0
"truth_L1_M2","B1","B1_1",12,0.99774135663505,0.420096095068809,0.997741214968827,0.232102578724123
"factor_L3_M2","B1","B1_2",12,1,0.248192995971673,1,0.323400821269291
"factor_L3_M2","B1","B1_3",12,0.486944699297869,0.0182168372878323,0.259931878260607,0.0147333105673404
"factor_L3_M2","B2","B2_1",12,0.557471984469752,0.377287334552869,0.361924604212449,0.0520790071998333
"fpca_L1_M4","B2","B2_1",12,0.6835959157964,0.402445959364865,0.110925843016919,0
"truth_L1_M2","B2","B2_1",12,0.207202801676842,0.105173958372494,0.19327272120957,0.0125464888952956
"factor_L3_M2","B2","B2_2",12,0.477864680610431,0.127935106185685,0.277270429605871,0.0676365118481134
"factor_L3_M2","B2","B2_3",12,1,0.395085293655828,1,0.12188550632259
