"fit_config_id","role_id","reference_candidate_id","starts","loading_abs_cosine_median","loading_abs_cosine_minimum","recurrence_ge_0_9","contribution_share_q25","contribution_share_median","contribution_share_q75","contribution_share_maximum","complete_contribution_rms_median","factor_ppi_median"
"factor_L3_M2","A","A_1",12,0.999708138359595,0.997912515959333,1,0.282446866820047,0.484645856879102,0.676961452683965,0.72002388422696,0.393892948858134,1
"fpca_L1_M4","A","A_1",12,0.999997998064325,1.59924737233762e-05,0.666666666666667,0.428712963601373,0.57442112767867,0.665823945076409,0.692728092323609,0.443099832475791,1
"truth_L1_M2","A","A_1",12,0.999990367586618,1.58975933017015e-06,0.75,0.372997666696991,0.495948526151907,0.515693874030772,0.777075073589735,0.252716560146718,1
"factor_L3_M2","A","A_2",12,0.499408560023826,0,0.5,0,0.0181780179717798,0.0557622453606545,0.266571935830918,0.0661314150624755,0.500000012541647
"factor_L3_M2","A","A_3",12,0.0136791937007094,0,0.166666666666667,0,0.00285052530345173,0.0533018084183923,0.108171928576608,0.0159758137740053,0.500000012541647
"factor_L3_M2","B1","B1_1",12,0.999948319614498,0.999929103442387,1,0.145791372186246,0.184331095209297,0.286482855009914,0.333741379257318,0.347026463862055,1
"fpca_L1_M4","B1","B1_1",12,0.999999692359565,4.36396000506443e-05,0.666666666666667,0.180034678932858,0.192751634846506,0.271077494632934,0.39334913796429,0.371844266141464,1
"truth_L1_M2","B1","B1_1",12,0.999999677456843,0,0.666666666666667,0.198048980211834,0.296639633852339,0.484230846912969,0.49755482422357,0.346506145895521,1
"factor_L3_M2","B1","B1_2",12,0,0,0,0,0,0,0.0173050059400775,0,3.52651109980507e-08
"factor_L3_M2","B1","B1_3",12,0,0,0,0,0.011375743774479,0.0271248848373504,0.119168771645658,0.0785887518620269,1
"factor_L3_M2","B2","B2_1",12,0.999969875701066,0.897913456706089,0.916666666666667,0.089156044468488,0.109696448925158,0.157177195292687,0.338855615943917,0.270938607316659,1
"fpca_L1_M4","B2","B2_1",12,0.99999943886549,2.13913386770747e-05,0.666666666666667,0.161041801959642,0.178368148519996,0.269882294897779,0.640544465329254,0.345490561636515,1
"truth_L1_M2","B2","B2_1",12,0.00243426354142124,0,0.416666666666667,0.0174402227755115,0.2234359459394,0.330477831814106,0.57111226314132,0.299661918793323,1
"factor_L3_M2","B2","B2_2",12,0.0267263185848723,0,0.166666666666667,0.00556770400047141,0.0247607318088941,0.133212124876232,0.173487836127143,0.123638173829747,1
"factor_L3_M2","B2","B2_3",12,0,0,0,0,0,0,0.313227956780766,0,3.5240368234657e-08
