"manifest_schema_id","total_protocol_id","r_only_protocol_id","audit_id","data_id","path_id","route_id","seed_index","original_fit_seed","continuation_seed","initialization_independence_id","audit_stage","start_state_policy","additional_T1_sweeps_policy","target_cumulative_T1","fixed_horizon_ignores_intermediate_strict_stop","sequential_from_verified_state","main_endpoint_replaced","main_selection_reopened","counterfactual_selection_only","main_error_policy","truth_available_to_continuation","truth_available_to_counterfactual_selection","formal_continuation_started","terminal_record_required"
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_01_anchor_200","v0lv_03","R","random__pre1__anneal_default",1,82620301,82620301,"v0lv_03__R__82620301","anchor_200","main_endpoint_or_verified_main_200","max(0,200-main_actual_T1)",200,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_01_to_400","v0lv_03","R","random__pre1__anneal_default",1,82620301,82620301,"v0lv_03__R__82620301","to_400","verified_audit_anchor_200","200",400,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_01_to_800","v0lv_03","R","random__pre1__anneal_default",1,82620301,82620301,"v0lv_03__R__82620301","to_800","verified_audit_state_400","400",800,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_02_anchor_200","v0lv_03","R","random__pre1__anneal_default",2,82620302,82620302,"v0lv_03__R__82620302","anchor_200","main_endpoint_or_verified_main_200","max(0,200-main_actual_T1)",200,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_02_to_400","v0lv_03","R","random__pre1__anneal_default",2,82620302,82620302,"v0lv_03__R__82620302","to_400","verified_audit_anchor_200","200",400,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_02_to_800","v0lv_03","R","random__pre1__anneal_default",2,82620302,82620302,"v0lv_03__R__82620302","to_800","verified_audit_state_400","400",800,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_03_anchor_200","v0lv_03","R","random__pre1__anneal_default",3,82620303,82620303,"v0lv_03__R__82620303","anchor_200","main_endpoint_or_verified_main_200","max(0,200-main_actual_T1)",200,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_03_to_400","v0lv_03","R","random__pre1__anneal_default",3,82620303,82620303,"v0lv_03__R__82620303","to_400","verified_audit_anchor_200","200",400,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_03_to_800","v0lv_03","R","random__pre1__anneal_default",3,82620303,82620303,"v0lv_03__R__82620303","to_800","verified_audit_state_400","400",800,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_04_anchor_200","v0lv_03","R","random__pre1__anneal_default",4,82620304,82620304,"v0lv_03__R__82620304","anchor_200","main_endpoint_or_verified_main_200","max(0,200-main_actual_T1)",200,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
