"seed","seed_namespace","data_id","path_id","use_id","reuse_policy","formal_use_started"
82612001,"formal_data_generation","v0lv_01","generator","v0lv_01","unique_global_data_seed",FALSE
82612002,"formal_data_generation","v0lv_02","generator","v0lv_02","unique_global_data_seed",FALSE
82612003,"formal_data_generation","v0lv_03","generator","v0lv_03","unique_global_data_seed",FALSE
82612004,"formal_data_generation","v0lv_04","generator","v0lv_04","unique_global_data_seed",FALSE
82612005,"formal_data_generation","v0lv_05","generator","v0lv_05","unique_global_data_seed",FALSE
82612006,"formal_data_generation","v0lv_06","generator","v0lv_06","unique_global_data_seed",FALSE
82612007,"formal_data_generation","v0lv_07","generator","v0lv_07","unique_global_data_seed",FALSE
82612008,"formal_data_generation","v0lv_08","generator","v0lv_08","unique_global_data_seed",FALSE
82612009,"formal_data_generation","v0lv_09","generator","v0lv_09","unique_global_data_seed",FALSE
82612010,"formal_data_generation","v0lv_10","generator","v0lv_10","unique_global_data_seed",FALSE
82620101,"formal_fit","v0lv_01","B0","v0lv_01_B0_01","intentional_B0_A_R_core_pair_within_data",FALSE
82620102,"formal_fit","v0lv_01","B0","v0lv_01_B0_02","intentional_B0_A_R_core_pair_within_data",FALSE
82620103,"formal_fit","v0lv_01","B0","v0lv_01_B0_03","intentional_B0_A_R_core_pair_within_data",FALSE
82620104,"formal_fit","v0lv_01","B0","v0lv_01_B0_04","intentional_B0_A_R_core_pair_within_data",FALSE
82620101,"formal_fit","v0lv_01","A","v0lv_01_A_01","intentional_B0_A_R_core_pair_within_data",FALSE
82620102,"formal_fit","v0lv_01","A","v0lv_01_A_02","intentional_B0_A_R_core_pair_within_data",FALSE
82620103,"formal_fit","v0lv_01","A","v0lv_01_A_03","intentional_B0_A_R_core_pair_within_data",FALSE
82620104,"formal_fit","v0lv_01","A","v0lv_01_A_04","intentional_B0_A_R_core_pair_within_data",FALSE
82620101,"formal_fit","v0lv_01","R","v0lv_01_R_01","intentional_B0_A_R_core_pair_within_data",FALSE
82620102,"formal_fit","v0lv_01","R","v0lv_01_R_02","intentional_B0_A_R_core_pair_within_data",FALSE
82620103,"formal_fit","v0lv_01","R","v0lv_01_R_03","intentional_B0_A_R_core_pair_within_data",FALSE
82620104,"formal_fit","v0lv_01","R","v0lv_01_R_04","intentional_B0_A_R_core_pair_within_data",FALSE
82620105,"formal_fit","v0lv_01","R","v0lv_01_R_05","unique_within_path_and_data",FALSE
82620106,"formal_fit","v0lv_01","R","v0lv_01_R_06","unique_within_path_and_data",FALSE
82620107,"formal_fit","v0lv_01","R","v0lv_01_R_07","unique_within_path_and_data",FALSE
82620108,"formal_fit","v0lv_01","R","v0lv_01_R_08","unique_within_path_and_data",FALSE
82620109,"formal_fit","v0lv_01","R","v0lv_01_R_09","unique_within_path_and_data",FALSE
82620110,"formal_fit","v0lv_01","R","v0lv_01_R_10","unique_within_path_and_data",FALSE
82620111,"formal_fit","v0lv_01","R","v0lv_01_R_11","unique_within_path_and_data",FALSE
82620112,"formal_fit","v0lv_01","R","v0lv_01_R_12","unique_within_path_and_data",FALSE
82630001,"formal_fit","v0lv_01","pooled_bayesSYNC","v0lv_01_pooled_bayesSYNC_01","unique_within_path_and_data",FALSE
