package,role,windows_reference_version,is_base_or_recommended,source,linux_actual_version
R,formal_runtime,4.5.1,TRUE,R_runtime,pending_server_acceptance
multiFSYNC,formal_runtime,0.3.0.9000,FALSE,rc1_snapshot,pending_server_acceptance
stats,formal_runtime,4.5.1,TRUE,R_distribution,pending_server_acceptance
utils,formal_runtime,4.5.1,TRUE,R_distribution,pending_server_acceptance
parallel,formal_runtime,4.5.1,TRUE,R_distribution,pending_server_acceptance
splines,formal_runtime,4.5.1,TRUE,R_distribution,pending_server_acceptance
compiler,formal_runtime,4.5.1,TRUE,R_distribution,pending_server_acceptance
grid,formal_runtime,4.5.1,TRUE,R_distribution,pending_server_acceptance
MASS,formal_runtime,7.3-65,TRUE,R_distribution,pending_server_acceptance
lattice,formal_runtime,0.22-7,TRUE,R_distribution,pending_server_acceptance
digest,formal_runtime,not_installed_in_windows_acceptance,FALSE,CRAN,pending_server_acceptance
abind,formal_runtime,1.4-8,FALSE,CRAN,pending_server_acceptance
ellipse,formal_runtime,0.5.0,FALSE,CRAN,pending_server_acceptance
gtools,formal_runtime,3.9.5,FALSE,CRAN,pending_server_acceptance
magic,formal_runtime,1.6-1,FALSE,CRAN,pending_server_acceptance
matrixcalc,formal_runtime,1.0-6,FALSE,CRAN,pending_server_acceptance
matrixStats,formal_runtime,1.5.0,FALSE,CRAN,pending_server_acceptance
pracma,formal_runtime,2.4.6,FALSE,CRAN,pending_server_acceptance
testthat,smoke_test,3.3.2,FALSE,CRAN,pending_server_acceptance
